fold_id,train_boundary_start,train_start,train_end,oos_boundary_start,oos_start,oos_end,oos_boundary_end_exclusive,train_sessions,oos_sessions,tickers
wf_01,2022-01-01,2022-01-04,2022-12-30,2023-01-01,2023-01-03,2023-02-28,2023-03-01,249,36,VCB|VPB
wf_02,2022-03-01,2022-03-01,2023-02-28,2023-03-01,2023-03-01,2023-04-28,2023-05-01,250,43,VCB|VPB
wf_03,2022-05-01,2022-05-04,2023-04-28,2023-05-01,2023-05-04,2023-06-30,2023-07-01,250,42,VCB|VPB
wf_04,2022-07-01,2022-07-01,2023-06-30,2023-07-01,2023-07-03,2023-08-31,2023-09-01,250,44,VCB|VPB
wf_05,2022-09-01,2022-09-05,2023-08-31,2023-09-01,2023-09-05,2023-10-31,2023-11-01,250,41,VCB|VPB
wf_06,2022-11-01,2022-11-01,2023-10-31,2023-11-01,2023-11-01,2023-12-29,2024-01-01,250,43,VCB|VPB
wf_07,2023-01-01,2023-01-03,2023-12-29,2024-01-01,2024-01-02,2024-02-29,2024-03-01,249,38,VCB|VPB
wf_08,2023-03-01,2023-03-01,2024-02-29,2024-03-01,2024-03-01,2024-04-26,2024-05-01,251,40,VCB|VPB
wf_09,2023-05-01,2023-05-04,2024-04-26,2024-05-01,2024-05-02,2024-06-28,2024-07-01,248,42,VCB|VPB
wf_10,2023-07-01,2023-07-03,2024-06-28,2024-07-01,2024-07-01,2024-08-30,2024-09-01,248,45,VCB|VPB
wf_11,2023-09-01,2023-09-05,2024-08-30,2024-09-01,2024-09-04,2024-10-31,2024-11-01,249,42,VCB|VPB
wf_12,2023-11-01,2023-11-01,2024-10-31,2024-11-01,2024-11-01,2024-12-31,2025-01-01,250,43,VCB|VPB
wf_13,2024-01-01,2024-01-02,2024-12-31,2025-01-01,2025-01-02,2025-02-28,2025-03-01,250,37,VCB|VPB
wf_14,2024-03-01,2024-03-01,2025-02-28,2025-03-01,2025-03-03,2025-04-29,2025-05-01,249,41,VCB|VPB
wf_15,2024-05-01,2024-05-02,2025-04-29,2025-05-01,2025-05-05,2025-06-30,2025-07-01,250,41,VCB|VPB
