tickersymbol,observed_windows,total_periods,excluded_reference_reset_count,oscillating_sideways_count,quiet_sideways_count,uptrend_count,downtrend_count,deep_downtrend_count,oscillating_sideways_pct,quiet_sideways_pct,uptrend_pct,downtrend_pct,deep_downtrend_pct,favorable_pct,worst_valid_period_return,selection_score,eligible
VCB,174,170,4,98,0,41,31,4,0.576471,0.000000,0.241176,0.182353,0.023529,0.817647,-0.173333,0.491176,True
FPT,174,168,6,89,0,51,28,6,0.529762,0.000000,0.303571,0.166667,0.035714,0.833333,-0.169170,0.479167,True
HPG,174,168,6,102,0,36,30,10,0.607143,0.000000,0.214286,0.178571,0.059524,0.821429,-0.221893,0.476190,False
TCB,174,170,4,86,0,53,31,12,0.505882,0.000000,0.311765,0.182353,0.070588,0.817647,-0.278195,0.408824,False
MBB,174,164,10,84,0,49,31,11,0.512195,0.000000,0.298780,0.189024,0.067073,0.810976,-0.209497,0.405488,False
VPB,174,166,8,85,0,45,36,8,0.512048,0.000000,0.271084,0.216867,0.048193,0.783133,-0.205479,0.382530,True
PNJ,174,172,2,92,0,41,39,8,0.534884,0.000000,0.238372,0.226744,0.046512,0.773256,-0.231207,0.380814,True
SSI,174,168,6,90,0,43,35,21,0.535714,0.000000,0.255952,0.208333,0.125000,0.791667,-0.289655,0.330357,False
MWG,174,172,2,84,0,45,43,19,0.488372,0.000000,0.261628,0.250000,0.110465,0.750000,-0.211458,0.258721,False
VND,174,164,10,85,0,39,40,23,0.518293,0.000000,0.237805,0.243902,0.140244,0.756098,-0.298755,0.253049,False
