datetime,tickersymbol,open,high,low,close,ceiling,floor,matched_quantity,exchangeid,instrumenttype,primary_split,validation_fold
2022-01-04,FPT,93.4,94.2,93.3,93.5,99.5,86.5,1036600,HSX,stock,development,
2022-01-04,HPG,46.8,47.2,46.6,46.75,49.6,43.2,8424600,HSX,stock,development,
2022-01-04,MBB,29.2,29.4,29.05,29.1,30.9,26.9,3803700,HSX,stock,development,
2022-01-04,MWG,135.9,139.2,134.9,137.8,145.4,126.4,626100,HSX,stock,development,
2022-01-04,PNJ,96.2,96.5,95.4,96.5,102.9,89.5,185700,HSX,stock,development,
2022-01-04,SSI,52.5,53.4,51.9,53.0,55.4,48.2,5980900,HSX,stock,development,
2022-01-04,TCB,50.5,51.2,50.3,50.9,53.5,46.5,5871400,HSX,stock,development,
2022-01-04,VCB,79.0,79.4,78.0,79.0,84.3,73.3,540300,HSX,stock,development,
2022-01-04,VND,82.1,84.4,82.0,83.0,87.7,76.3,2327800,HSX,stock,development,
2022-01-04,VPB,36.15,36.35,36.0,36.05,38.3,33.3,6925100,HSX,stock,development,
2022-01-05,FPT,93.7,94.2,93.5,93.6,100.0,87.0,741000,HSX,stock,development,
2022-01-05,HPG,46.9,47.35,46.8,46.8,50.0,43.5,8681400,HSX,stock,development,
2022-01-05,MBB,29.1,29.15,28.65,28.7,31.1,27.1,3873900,HSX,stock,development,
2022-01-05,MWG,137.8,139.3,137.1,137.1,147.4,128.2,666300,HSX,stock,development,
2022-01-05,PNJ,96.0,96.6,95.1,95.1,103.2,89.8,326100,HSX,stock,development,
2022-01-05,SSI,53.0,53.9,52.5,52.8,56.7,49.3,6794500,HSX,stock,development,
2022-01-05,TCB,50.9,51.2,50.3,50.5,54.4,47.35,4791800,HSX,stock,development,
2022-01-05,VCB,79.0,80.4,78.0,78.0,84.5,73.5,911300,HSX,stock,development,
2022-01-05,VND,83.0,84.8,82.1,82.1,88.8,77.2,2932600,HSX,stock,development,
2022-01-05,VPB,36.05,36.15,35.5,35.5,38.55,33.55,6623600,HSX,stock,development,
2022-01-06,FPT,93.6,94.0,93.5,93.5,100.1,87.1,685000,HSX,stock,development,
2022-01-06,HPG,46.5,46.7,46.1,46.1,50.0,43.55,8014800,HSX,stock,development,
2022-01-06,MBB,28.5,28.6,28.15,28.35,30.7,26.7,4791500,HSX,stock,development,
2022-01-06,MWG,137.1,138.8,136.5,137.5,146.6,127.6,476200,HSX,stock,development,
2022-01-06,PNJ,95.2,95.9,94.5,94.6,101.7,88.5,161800,HSX,stock,development,
2022-01-06,SSI,52.4,53.0,51.9,51.9,56.4,49.15,6092800,HSX,stock,development,
2022-01-06,TCB,50.2,50.4,49.6,49.9,54.0,47.0,4776500,HSX,stock,development,
2022-01-06,VCB,78.6,79.9,77.9,79.1,83.4,72.6,692400,HSX,stock,development,
2022-01-06,VND,81.8,83.1,81.0,81.2,87.8,76.4,2666300,HSX,stock,development,
2022-01-06,VPB,35.3,35.5,34.9,35.15,37.95,33.05,7260600,HSX,stock,development,
2022-01-07,FPT,93.1,93.7,93.1,93.4,100.0,87.0,476800,HSX,stock,development,
2022-01-07,HPG,46.1,46.2,45.65,45.8,49.3,42.9,7534300,HSX,stock,development,
2022-01-07,MBB,28.35,28.85,28.3,28.6,30.3,26.4,4276500,HSX,stock,development,
2022-01-07,MWG,137.5,137.5,135.5,135.5,147.1,127.9,533700,HSX,stock,development,
2022-01-07,PNJ,94.6,94.6,93.6,93.9,101.2,88.0,152800,HSX,stock,development,
2022-01-07,SSI,51.7,52.5,51.2,51.6,55.5,48.3,5827700,HSX,stock,development,
2022-01-07,TCB,49.9,50.1,49.4,49.45,53.3,46.45,3300700,HSX,stock,development,
2022-01-07,VCB,79.6,79.9,78.2,79.8,84.6,73.6,490000,HSX,stock,development,
2022-01-07,VND,80.5,81.7,79.7,80.0,86.8,75.6,2938700,HSX,stock,development,
2022-01-07,VPB,35.1,35.15,34.6,34.6,37.6,32.7,6023900,HSX,stock,development,
2022-01-10,FPT,93.2,93.5,91.9,92.0,99.9,86.9,640700,HSX,stock,development,
2022-01-10,HPG,45.85,46.65,45.5,45.65,49.0,42.6,6408900,HSX,stock,development,
2022-01-10,MBB,28.55,28.75,28.1,28.1,30.6,26.6,3566800,HSX,stock,development,
2022-01-10,MWG,135.5,135.5,133.0,133.0,144.9,126.1,403100,HSX,stock,development,
2022-01-10,PNJ,93.8,93.8,93.0,93.2,100.4,87.4,209000,HSX,stock,development,
2022-01-10,SSI,51.6,52.0,49.55,49.55,55.2,48.0,5941500,HSX,stock,development,
2022-01-10,TCB,49.5,49.6,48.65,48.65,52.9,46.0,3095700,HSX,stock,development,
2022-01-10,VCB,79.7,79.9,78.5,79.5,85.3,74.3,458900,HSX,stock,development,
2022-01-10,VND,79.5,80.6,77.2,77.2,85.6,74.4,3962200,HSX,stock,development,
2022-01-10,VPB,34.5,35.1,34.15,34.4,37.0,32.2,4678500,HSX,stock,development,
2022-01-11,FPT,92.0,92.2,89.1,89.5,98.4,85.6,1118500,HSX,stock,development,
2022-01-11,HPG,46.05,46.05,45.1,45.1,48.8,42.5,6027100,HSX,stock,development,
2022-01-11,MBB,28.25,28.5,27.9,27.9,30.05,26.15,3607000,HSX,stock,development,
2022-01-11,MWG,133.0,134.5,131.7,131.8,142.3,123.7,463100,HSX,stock,development,
2022-01-11,PNJ,93.2,94.5,92.4,94.1,99.7,86.7,212500,HSX,stock,development,
2022-01-11,SSI,49.7,50.6,48.0,48.1,53.0,46.1,6908100,HSX,stock,development,
2022-01-11,TCB,48.9,49.1,48.4,48.45,52.0,45.25,3884400,HSX,stock,development,
2022-01-11,VCB,80.0,80.0,78.5,79.4,85.0,74.0,579000,HSX,stock,development,
2022-01-11,VND,79.0,79.0,73.0,73.0,82.6,71.8,4602500,HSX,stock,development,
2022-01-11,VPB,34.4,34.8,34.0,34.3,36.8,32.0,5183000,HSX,stock,development,
2022-01-12,FPT,89.1,90.6,88.5,89.6,95.7,83.3,845400,HSX,stock,development,
2022-01-12,HPG,45.2,46.25,45.15,46.2,48.25,41.95,6388900,HSX,stock,development,
2022-01-12,MBB,28.2,29.2,28.05,29.2,29.85,25.95,7274900,HSX,stock,development,
2022-01-12,MWG,131.8,136.0,130.0,136.0,141.0,122.6,611100,HSX,stock,development,
2022-01-12,PNJ,94.1,94.1,92.6,92.7,100.6,87.6,257400,HSX,stock,development,
2022-01-12,SSI,48.5,50.5,48.1,50.5,51.4,44.75,6738600,HSX,stock,development,
2022-01-12,TCB,48.45,50.4,48.4,50.4,51.8,45.1,5215300,HSX,stock,development,
2022-01-12,VCB,79.4,80.0,78.0,80.0,84.9,73.9,868500,HSX,stock,development,
2022-01-12,VND,72.5,76.7,72.0,76.4,78.1,67.9,3260600,HSX,stock,development,
2022-01-12,VPB,34.2,35.45,33.85,35.4,36.7,31.9,5534200,HSX,stock,development,
2022-01-13,FPT,90.9,92.7,89.8,92.1,95.8,83.4,930800,HSX,stock,development,
2022-01-13,HPG,46.3,47.3,46.2,46.7,49.4,43.0,10042500,HSX,stock,development,
2022-01-13,MBB,29.7,30.85,29.55,29.7,31.2,27.2,13167100,HSX,stock,development,
2022-01-13,MWG,136.5,136.5,132.0,135.5,145.5,126.5,596700,HSX,stock,development,
2022-01-13,PNJ,96.0,96.0,93.1,94.1,99.1,86.3,202000,HSX,stock,development,
2022-01-13,SSI,51.0,51.1,48.85,48.85,54.0,47.0,5000300,HSX,stock,development,
2022-01-13,TCB,50.9,51.8,50.2,50.5,53.9,46.9,5899900,HSX,stock,development,
2022-01-13,VCB,80.5,84.4,80.2,81.9,85.6,74.4,1182300,HSX,stock,development,
2022-01-13,VND,76.9,77.4,72.2,72.9,81.7,71.1,2348600,HSX,stock,development,
2022-01-13,VPB,35.7,36.25,34.95,35.25,37.85,32.95,6969900,HSX,stock,development,
2022-01-14,FPT,91.7,92.1,90.9,91.3,98.5,85.7,421200,HSX,stock,development,
2022-01-14,HPG,46.5,46.85,46.2,46.25,49.95,43.45,3672000,HSX,stock,development,
2022-01-14,MBB,29.5,30.15,29.25,29.65,31.75,27.65,3985100,HSX,stock,development,
2022-01-14,MWG,135.0,135.0,133.2,134.0,144.9,126.1,317000,HSX,stock,development,
2022-01-14,PNJ,91.7,94.3,91.7,93.9,100.6,87.6,160700,HSX,stock,development,
2022-01-14,SSI,48.45,49.45,48.3,48.7,52.2,45.45,3153000,HSX,stock,development,
2022-01-14,TCB,50.0,50.4,49.5,49.75,54.0,47.0,2674600,HSX,stock,development,
2022-01-14,VCB,81.9,83.4,81.0,83.4,87.6,76.2,716700,HSX,stock,development,
2022-01-14,VND,72.0,73.8,72.0,72.0,78.0,67.8,2048100,HSX,stock,development,
2022-01-14,VPB,35.25,35.4,34.7,34.85,37.7,32.8,4126200,HSX,stock,development,
2022-01-17,FPT,90.5,91.3,89.0,89.0,97.6,85.0,805000,HSX,stock,development,
2022-01-17,HPG,46.25,46.5,44.7,44.7,49.45,43.05,9087600,HSX,stock,development,
2022-01-17,MBB,29.7,30.75,29.5,29.5,31.7,27.6,11288200,HSX,stock,development,
2022-01-17,MWG,133.0,133.9,130.0,130.0,143.3,124.7,515100,HSX,stock,development,
2022-01-17,PNJ,93.1,94.0,92.6,93.5,100.4,87.4,302500,HSX,stock,development,
2022-01-17,SSI,48.5,48.9,45.3,45.3,52.1,45.3,12549200,HSX,stock,development,
2022-01-17,TCB,49.7,50.5,48.6,48.6,53.2,46.3,5438200,HSX,stock,development,
2022-01-17,VCB,83.0,88.0,82.3,86.2,89.2,77.6,1357200,HSX,stock,development,
2022-01-17,VND,72.0,72.4,67.0,67.0,77.0,67.0,5700000,HSX,stock,development,
2022-01-17,VPB,34.85,35.1,33.05,33.05,37.25,32.45,6810700,HSX,stock,development,
2022-01-18,FPT,88.3,89.6,88.0,88.1,95.2,82.8,569300,HSX,stock,development,
2022-01-18,HPG,44.5,45.25,43.0,44.0,47.8,41.6,8872800,HSX,stock,development,
2022-01-18,MBB,29.7,30.35,29.5,29.9,31.55,27.45,6171600,HSX,stock,development,
2022-01-18,MWG,129.0,132.0,128.6,130.1,139.1,120.9,481700,HSX,stock,development,
2022-01-18,PNJ,92.2,93.5,92.1,93.3,100.0,87.0,209000,HSX,stock,development,
2022-01-18,SSI,44.3,45.1,42.15,42.3,48.45,42.15,7861700,HSX,stock,development,
2022-01-18,TCB,48.6,49.45,48.5,48.75,52.0,45.2,3865400,HSX,stock,development,
2022-01-18,VCB,85.5,87.6,84.0,87.6,92.2,80.2,954600,HSX,stock,development,
2022-01-18,VND,65.1,66.0,62.4,62.4,71.6,62.4,5484100,HSX,stock,development,
2022-01-18,VPB,33.05,33.9,33.0,33.25,35.35,30.75,3336000,HSX,stock,development,
2022-01-19,FPT,88.1,89.2,88.0,88.3,94.2,82.0,401600,HSX,stock,development,
2022-01-19,HPG,44.4,44.55,43.45,43.5,47.05,40.95,8992400,HSX,stock,development,
2022-01-19,MBB,30.2,30.8,29.6,29.6,31.95,27.85,5149100,HSX,stock,development,
2022-01-19,MWG,130.2,134.0,130.0,133.5,139.2,121.0,518400,HSX,stock,development,
2022-01-19,PNJ,93.2,93.6,92.0,93.6,99.8,86.8,179300,HSX,stock,development,
2022-01-19,SSI,43.9,45.2,43.35,45.2,45.25,39.35,5347500,HSX,stock,development,
2022-01-19,TCB,49.0,49.4,48.8,48.85,52.1,45.35,2326900,HSX,stock,development,
2022-01-19,VCB,87.5,87.5,85.0,86.8,93.7,81.5,565400,HSX,stock,development,
2022-01-19,VND,64.5,66.7,63.7,66.7,66.7,58.1,2663200,HSX,stock,development,
2022-01-19,VPB,33.3,33.95,33.3,33.5,35.55,30.95,3488500,HSX,stock,development,
2022-01-20,FPT,88.4,91.0,88.3,88.8,94.4,82.2,787800,HSX,stock,development,
2022-01-20,HPG,43.8,44.2,43.3,44.0,46.5,40.5,6903900,HSX,stock,development,
2022-01-20,MBB,29.7,30.5,29.25,30.2,31.65,27.55,6911400,HSX,stock,development,
2022-01-20,MWG,133.0,134.0,132.1,134.0,142.8,124.2,655500,HSX,stock,development,
2022-01-20,PNJ,93.0,94.5,93.0,94.4,100.1,87.1,224400,HSX,stock,development,
2022-01-20,SSI,45.4,46.2,44.45,45.7,48.35,42.05,4165700,HSX,stock,development,
2022-01-20,TCB,48.65,49.4,48.6,48.85,52.2,45.45,3418600,HSX,stock,development,
2022-01-20,VCB,85.2,87.5,83.1,87.1,92.8,80.8,1490600,HSX,stock,development,
2022-01-20,VND,67.0,69.5,64.8,67.8,71.3,62.1,2497600,HSX,stock,development,
2022-01-20,VPB,33.6,33.95,33.2,33.95,35.8,31.2,4495900,HSX,stock,development,
2022-01-21,FPT,89.0,89.8,88.2,88.2,95.0,82.6,437900,HSX,stock,development,
2022-01-21,HPG,44.0,44.45,43.1,43.3,47.05,40.95,6710200,HSX,stock,development,
2022-01-21,MBB,30.2,32.3,30.1,31.8,32.3,28.1,17702000,HSX,stock,development,
2022-01-21,MWG,134.0,134.0,131.3,133.2,143.3,124.7,354100,HSX,stock,development,
2022-01-21,PNJ,94.5,95.5,94.4,95.5,101.0,87.8,413500,HSX,stock,development,
2022-01-21,SSI,45.2,45.6,44.2,44.55,48.85,42.55,3991800,HSX,stock,development,
2022-01-21,TCB,49.0,50.8,48.9,49.8,52.2,45.45,4696700,HSX,stock,development,
2022-01-21,VCB,86.9,90.0,86.1,89.2,93.1,81.1,1377900,HSX,stock,development,
2022-01-21,VND,67.7,67.7,65.7,65.8,72.5,63.1,1586700,HSX,stock,development,
2022-01-21,VPB,34.0,34.75,33.55,34.3,36.3,31.6,4929400,HSX,stock,development,
2022-01-24,FPT,88.2,88.5,85.0,85.3,94.3,82.1,977300,HSX,stock,development,
2022-01-24,HPG,43.1,43.2,40.7,40.7,46.3,40.3,12293400,HSX,stock,development,
2022-01-24,MBB,31.85,33.0,31.65,32.1,34.0,29.6,13841500,HSX,stock,development,
2022-01-24,MWG,132.2,133.2,129.9,129.9,142.5,123.9,510900,HSX,stock,development,
2022-01-24,PNJ,95.5,98.3,94.1,96.9,102.1,88.9,457300,HSX,stock,development,
2022-01-24,SSI,43.8,44.3,41.45,41.45,47.65,41.45,7863400,HSX,stock,development,
2022-01-24,TCB,49.95,51.4,49.8,50.3,53.2,46.35,7120900,HSX,stock,development,
2022-01-24,VCB,89.4,93.5,88.2,93.0,95.4,83.0,1448000,HSX,stock,development,
2022-01-24,VND,63.9,64.8,61.2,61.2,70.4,61.2,4516600,HSX,stock,development,
2022-01-24,VPB,34.05,34.35,33.0,33.45,36.7,31.9,5639300,HSX,stock,development,
2022-01-25,FPT,85.2,87.5,84.0,86.5,91.2,79.4,591600,HSX,stock,development,
2022-01-25,HPG,40.5,43.3,40.2,43.25,43.5,37.9,8196900,HSX,stock,development,
2022-01-25,MBB,32.0,32.7,31.9,32.6,34.3,29.9,8323600,HSX,stock,development,
2022-01-25,MWG,129.8,131.0,127.6,131.0,138.9,120.9,460000,HSX,stock,development,
2022-01-25,PNJ,96.8,97.5,95.6,97.0,103.6,90.2,369400,HSX,stock,development,
2022-01-25,SSI,41.0,42.9,40.9,42.8,44.35,38.55,4920600,HSX,stock,development,
2022-01-25,TCB,51.2,52.1,51.0,51.9,53.8,46.8,6022400,HSX,stock,development,
2022-01-25,VCB,92.5,96.0,89.0,95.8,99.5,86.5,1225500,HSX,stock,development,
2022-01-25,VND,60.6,63.0,59.1,62.7,65.4,57.0,2097700,HSX,stock,development,
2022-01-25,VPB,33.4,34.9,33.1,34.9,35.75,31.15,7401200,HSX,stock,development,
2022-01-26,FPT,87.0,87.0,85.5,86.0,92.5,80.5,536900,HSX,stock,development,
2022-01-26,HPG,43.5,44.45,43.45,43.45,46.25,40.25,7301100,HSX,stock,development,
2022-01-26,MBB,32.95,33.9,32.8,33.3,34.85,30.35,11656800,HSX,stock,development,
2022-01-26,MWG,131.0,131.9,129.0,131.9,140.1,121.9,503300,HSX,stock,development,
2022-01-26,PNJ,97.6,101.0,96.8,101.0,103.7,90.3,1067000,HSX,stock,development,
2022-01-26,SSI,43.0,43.4,42.4,42.45,45.75,39.85,4256500,HSX,stock,development,
2022-01-26,TCB,52.4,53.3,52.0,52.4,55.5,48.3,5911000,HSX,stock,development,
2022-01-26,VCB,95.8,95.8,92.6,94.5,102.5,89.1,1425100,HSX,stock,development,
2022-01-26,VND,63.0,64.4,61.5,62.9,67.0,58.4,2147500,HSX,stock,development,
2022-01-26,VPB,34.9,36.35,34.8,35.9,37.3,32.5,7732200,HSX,stock,development,
2022-01-27,FPT,86.0,86.7,85.4,85.9,92.0,80.0,367500,HSX,stock,development,
2022-01-27,HPG,43.2,43.5,42.0,42.15,46.45,40.45,6537600,HSX,stock,development,
2022-01-27,MBB,33.0,33.35,32.55,33.0,35.6,31.0,7095900,HSX,stock,development,
2022-01-27,MWG,130.9,132.3,129.2,131.5,141.1,122.7,310300,HSX,stock,development,
2022-01-27,PNJ,100.0,101.5,99.9,101.0,108.0,94.0,558900,HSX,stock,development,
2022-01-27,SSI,42.5,44.5,42.1,43.4,45.4,39.5,3467800,HSX,stock,development,
2022-01-27,TCB,52.0,52.7,51.5,51.9,56.0,48.75,3321600,HSX,stock,development,
2022-01-27,VCB,93.0,94.5,90.4,91.0,101.1,87.9,883600,HSX,stock,development,
2022-01-27,VND,62.4,66.8,62.1,65.0,67.3,58.5,1976600,HSX,stock,development,
2022-01-27,VPB,35.9,36.65,35.4,35.45,38.4,33.4,8073800,HSX,stock,development,
2022-01-28,FPT,86.0,89.5,85.9,89.5,91.9,79.9,1098600,HSX,stock,development,
2022-01-28,HPG,42.25,42.8,41.7,42.2,45.1,39.2,6834900,HSX,stock,development,
2022-01-28,MBB,33.3,34.2,33.2,33.7,35.3,30.7,10762500,HSX,stock,development,
2022-01-28,MWG,131.3,132.5,129.7,132.5,140.7,122.3,470600,HSX,stock,development,
2022-01-28,PNJ,100.0,104.0,100.0,104.0,108.0,94.0,682800,HSX,stock,development,
2022-01-28,SSI,43.3,45.05,43.2,45.05,46.4,40.4,4390300,HSX,stock,development,
2022-01-28,TCB,51.9,53.0,51.6,52.8,55.5,48.3,4899300,HSX,stock,development,
2022-01-28,VCB,91.0,92.0,89.0,89.0,97.3,84.7,1174800,HSX,stock,development,
2022-01-28,VND,65.0,69.0,64.8,69.0,69.5,60.5,2560000,HSX,stock,development,
2022-01-28,VPB,35.65,36.7,35.5,36.65,37.9,33.0,12592100,HSX,stock,development,
2022-02-07,FPT,90.0,90.1,89.0,89.5,95.7,83.3,232900,HSX,stock,development,
2022-02-07,HPG,42.8,43.7,41.8,43.05,45.15,39.25,6067600,HSX,stock,development,
2022-02-07,MBB,34.3,34.5,33.55,33.8,36.05,31.35,7102000,HSX,stock,development,
2022-02-07,MWG,133.0,135.7,133.0,133.9,141.7,123.3,404000,HSX,stock,development,
2022-02-07,PNJ,103.6,108.0,103.6,107.3,111.2,96.8,639800,HSX,stock,development,
2022-02-07,SSI,46.0,46.9,45.3,45.85,48.2,41.9,4863400,HSX,stock,development,
2022-02-07,TCB,53.7,53.8,52.8,52.8,56.4,49.15,4450500,HSX,stock,development,
2022-02-07,VCB,90.6,92.9,89.5,92.4,95.2,82.8,728800,HSX,stock,development,
2022-02-07,VND,69.8,71.8,69.2,70.4,73.8,64.2,1911200,HSX,stock,development,
2022-02-07,VPB,37.0,37.2,36.3,36.3,39.2,34.1,5101000,HSX,stock,development,
2022-02-08,FPT,89.5,91.8,89.5,90.6,95.7,83.3,459900,HSX,stock,development,
2022-02-08,HPG,43.0,45.55,43.0,45.55,46.05,40.05,9646100,HSX,stock,development,
2022-02-08,MBB,33.6,34.15,33.3,33.8,36.15,31.45,7568700,HSX,stock,development,
2022-02-08,MWG,133.9,136.8,133.9,136.3,143.2,124.6,693100,HSX,stock,development,
2022-02-08,PNJ,106.1,107.1,104.0,105.0,114.8,99.8,444300,HSX,stock,development,
2022-02-08,SSI,45.5,46.1,45.0,45.65,49.05,42.65,3185300,HSX,stock,development,
2022-02-08,TCB,52.8,54.3,52.8,53.8,56.4,49.15,6473400,HSX,stock,development,
2022-02-08,VCB,92.4,92.4,90.1,92.0,98.8,86.0,617300,HSX,stock,development,
2022-02-08,VND,70.5,70.5,68.2,70.0,75.3,65.5,1437700,HSX,stock,development,
2022-02-08,VPB,36.15,37.9,36.1,37.3,38.8,33.8,8661000,HSX,stock,development,
2022-02-09,FPT,91.7,91.7,90.6,90.7,96.9,84.3,645100,HSX,stock,development,
2022-02-09,HPG,45.8,48.3,45.7,47.3,48.7,42.4,14779800,HSX,stock,development,
2022-02-09,MBB,33.8,34.15,33.3,33.3,36.15,31.45,8651600,HSX,stock,development,
2022-02-09,MWG,136.3,137.5,136.0,137.0,145.8,126.8,753000,HSX,stock,development,
2022-02-09,PNJ,104.9,104.9,103.0,103.3,112.3,97.7,694100,HSX,stock,development,
2022-02-09,SSI,45.3,46.3,45.3,45.7,48.8,42.5,4057100,HSX,stock,development,
2022-02-09,TCB,54.0,54.9,53.6,53.6,57.5,50.1,7819800,HSX,stock,development,
2022-02-09,VCB,91.2,91.9,90.3,90.8,98.4,85.6,901100,HSX,stock,development,
2022-02-09,VND,70.0,72.9,69.5,72.0,74.9,65.1,2330800,HSX,stock,development,
2022-02-09,VPB,37.5,38.0,37.1,37.1,39.9,34.7,9415000,HSX,stock,development,
2022-02-10,FPT,91.4,92.0,90.2,92.0,97.0,84.4,487600,HSX,stock,development,
2022-02-10,HPG,47.4,47.9,46.7,47.0,50.6,44.0,9224000,HSX,stock,development,
2022-02-10,MBB,33.2,34.2,33.05,33.75,35.6,31.0,9598800,HSX,stock,development,
2022-02-10,MWG,137.0,137.2,134.5,136.3,146.5,127.5,517500,HSX,stock,development,
2022-02-10,PNJ,103.5,103.7,101.6,103.3,110.5,96.1,435400,HSX,stock,development,
2022-02-10,SSI,45.8,45.9,44.6,45.1,48.85,42.55,3171000,HSX,stock,development,
2022-02-10,TCB,53.6,54.2,53.1,53.6,57.3,49.85,5193800,HSX,stock,development,
2022-02-10,VCB,91.1,93.4,91.0,91.3,97.1,84.5,877400,HSX,stock,development,
2022-02-10,VND,71.9,72.7,70.1,71.0,77.0,67.0,1266600,HSX,stock,development,
2022-02-10,VPB,37.05,37.25,36.15,36.7,39.65,34.55,6562400,HSX,stock,development,
2022-02-11,FPT,91.8,92.4,91.4,91.6,98.4,85.6,332800,HSX,stock,development,
2022-02-11,HPG,46.6,47.5,46.3,47.15,50.2,43.75,6980200,HSX,stock,development,
2022-02-11,MBB,33.75,34.15,33.7,33.95,36.1,31.4,6141400,HSX,stock,development,
2022-02-11,MWG,135.0,136.0,135.0,135.3,145.8,126.8,380800,HSX,stock,development,
2022-02-11,PNJ,103.0,106.5,102.0,104.8,110.5,96.1,329500,HSX,stock,development,
2022-02-11,SSI,45.0,45.65,44.8,45.1,48.25,41.95,2394400,HSX,stock,development,
2022-02-11,TCB,53.5,53.8,53.0,53.7,57.3,49.85,3380600,HSX,stock,development,
2022-02-11,VCB,91.3,91.6,90.0,90.0,97.6,85.0,628700,HSX,stock,development,
2022-02-11,VND,70.6,72.2,70.2,71.5,75.9,66.1,1461900,HSX,stock,development,
2022-02-11,VPB,36.8,37.2,36.5,36.6,39.25,34.15,5795900,HSX,stock,development,
2022-02-14,FPT,91.0,91.6,90.4,91.0,98.0,85.2,431900,HSX,stock,development,
2022-02-14,HPG,46.5,47.5,46.15,46.2,50.4,43.85,8908700,HSX,stock,development,
2022-02-14,MBB,33.5,33.8,32.0,32.0,36.3,31.6,12252400,HSX,stock,development,
2022-02-14,MWG,133.9,135.0,132.0,132.0,144.7,125.9,468500,HSX,stock,development,
2022-02-14,PNJ,105.0,105.1,104.1,104.6,112.1,97.5,323800,HSX,stock,development,
