period_id,tickersymbol,start_date,end_date,sessions,start_close,end_close,efficiency_ratio,period_return,range_pct,regime,reference_reset_detected
1,FPT,2022-01-05,2022-01-18,10,93.600000,88.100000,0.51401869,-0.05876068,0.06623932,downtrend,False
1,HPG,2022-01-05,2022-01-18,10,46.800000,44.000000,0.46666667,-0.05982906,0.09294872,downtrend,False
1,MBB,2022-01-05,2022-01-18,10,28.700000,29.900000,0.32432432,0.04181185,0.10278746,oscillating_sideways,False
1,MWG,2022-01-05,2022-01-18,10,137.100000,130.100000,0.42682927,-0.05105762,0.07804522,downtrend,False
1,PNJ,2022-01-05,2022-01-18,10,95.100000,93.300000,0.28125000,-0.01892744,0.05152471,oscillating_sideways,False
1,SSI,2022-01-05,2022-01-18,10,52.800000,42.300000,0.68627451,-0.19886364,0.22253788,downtrend,False
1,TCB,2022-01-05,2022-01-18,10,50.500000,48.750000,0.28455285,-0.03465347,0.06732673,oscillating_sideways,False
1,VCB,2022-01-05,2022-01-18,10,78.000000,87.600000,0.92307692,0.12307692,0.12948718,uptrend,False
1,VND,2022-01-05,2022-01-18,10,82.100000,62.400000,0.74339623,-0.23995128,0.27283800,downtrend,False
1,VPB,2022-01-05,2022-01-18,10,35.500000,33.250000,0.46391753,-0.06338028,0.09154930,downtrend,False
2,FPT,2022-01-12,2022-01-25,10,89.600000,86.500000,0.26050420,-0.03459821,0.09709821,oscillating_sideways,False
2,HPG,2022-01-12,2022-01-25,10,46.200000,43.250000,0.29353234,-0.06385281,0.15367965,oscillating_sideways,False
2,MBB,2022-01-12,2022-01-25,10,29.200000,32.600000,0.77272727,0.11643836,0.16952055,uptrend,False
2,MWG,2022-01-12,2022-01-25,10,136.000000,131.000000,0.32894737,-0.03676471,0.06544118,oscillating_sideways,False
2,PNJ,2022-01-12,2022-01-25,10,92.700000,97.000000,0.72881356,0.04638619,0.07119741,uptrend,False
2,SSI,2022-01-12,2022-01-25,10,50.500000,42.800000,0.44767442,-0.15247525,0.20198020,downtrend,False
2,TCB,2022-01-12,2022-01-25,10,50.400000,51.900000,0.28301887,0.02976190,0.07341270,oscillating_sideways,False
2,VCB,2022-01-12,2022-01-25,10,80.000000,95.800000,0.90804598,0.19750000,0.22500000,uptrend,False
2,VND,2022-01-12,2022-01-25,10,76.400000,62.700000,0.49818182,-0.17931937,0.23952880,downtrend,False
2,VPB,2022-01-12,2022-01-25,10,35.400000,34.900000,0.08474576,-0.01412429,0.09180791,oscillating_sideways,False
3,FPT,2022-01-19,2022-02-08,10,88.300000,90.600000,0.21904762,0.02604757,0.08833522,oscillating_sideways,False
3,HPG,2022-01-19,2022-02-08,10,43.500000,45.550000,0.18222222,0.04712644,0.12298851,oscillating_sideways,False
3,MBB,2022-01-19,2022-02-08,10,29.600000,33.800000,0.87500000,0.14189189,0.17736486,uptrend,False
3,MWG,2022-01-19,2022-02-08,10,133.500000,136.300000,0.23728814,0.02097378,0.06891386,oscillating_sideways,False
3,PNJ,2022-01-19,2022-02-08,10,93.600000,105.000000,0.71250000,0.12179487,0.17094017,uptrend,False
3,SSI,2022-01-19,2022-02-08,10,45.200000,45.650000,0.04477612,0.00995575,0.13274336,oscillating_sideways,False
3,TCB,2022-01-19,2022-02-08,10,48.850000,53.800000,0.83193277,0.10133060,0.11668373,uptrend,False
3,VCB,2022-01-19,2022-02-08,10,86.800000,92.000000,0.26530612,0.05990783,0.14861751,oscillating_sideways,False
3,VND,2022-01-19,2022-02-08,10,66.700000,70.000000,0.19075145,0.04947526,0.19040480,oscillating_sideways,False
3,VPB,2022-01-19,2022-02-08,10,33.500000,37.300000,0.53521127,0.11343284,0.14626866,uptrend,False
4,FPT,2022-01-26,2022-02-15,10,86.000000,91.100000,0.69863014,0.05930233,0.08139535,uptrend,False
