rank,eligible,parameter_json,market_return20_min,residual_z_max,spacing_atr_multiplier,lower_level_enabled,stop_steps,maximum_horizon,executed_campaigns,total_pnl_vnd,median_pnl_vnd,profit_factor,double_cost_pnl_vnd,best_removed_pnl_vnd,positive_halfyear_fraction,worst_return,p10_return,campaign_return_sharpe,robust_score
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":10,""residual_z_max"":-0.5,""spacing_atr_multiplier"":0.75,""stop_steps"":2}",0.0,-0.5,0.75,False,2,10,43,-760091,20186,0.6831099039229216,-1690595,-979925,0.25,-0.05997233681680814,-0.045194920397193264,-2.2801724557269045,-2.321457354234607
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":15,""residual_z_max"":-0.5,""spacing_atr_multiplier"":0.75,""stop_steps"":2}",0.0,-0.5,0.75,False,2,15,43,-760091,20186,0.6831099039229216,-1690595,-979925,0.25,-0.05997233681680814,-0.045194920397193264,-2.2801724557269045,-2.321457354234607
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":20,""residual_z_max"":-0.5,""spacing_atr_multiplier"":0.75,""stop_steps"":2}",0.0,-0.5,0.75,False,2,20,42,-847510,11431.0,0.64666398454095,-1735443,-1067344,0.25,-0.05997233681680814,-0.04551468908506947,-2.3505794676878677,-2.391944308367539
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":10,""residual_z_max"":-0.5,""spacing_atr_multiplier"":0.75,""stop_steps"":3}",0.0,-0.5,0.75,False,3,10,43,-635842,28061,0.7291125165352721,-1566701,-855676,0.25,-0.07998250739975105,-0.057972349392602596,-2.079392134729051,-2.133876475777077
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":15,""residual_z_max"":-0.5,""spacing_atr_multiplier"":0.75,""stop_steps"":3}",0.0,-0.5,0.75,False,3,15,42,-475836,29464.5,0.7824500091210466,-1361993,-695670,0.25,-0.07998250739975105,-0.059360097538589764,-2.044312015386286,-2.099143293470809
,False,"{""lower_level_enabled"":false,""market_return20_min"":0.0,""maximum_horizon"":20,""residual_z_max"":-0.5,""spacing_atr_multiplier"":0.75,""stop_steps"":3}",0.0,-0.5,0.75,False,3,20,41,-533330,28061,0.7527816869417853,-1376991,-753164,0.25,-0.07998250739975105,-0.059497939354333305,-2.086628286964302,-2.1414940255027606
,False,"{""lower_level_enabled"":true,""market_return20_min"":0.0,""maximum_horizon"":10,""residual_z_max"":-0.5,""spacing_atr_multiplier"":0.75,""stop_steps"":2}",0.0,-0.5,0.75,True,2,10,43,-1587972,20186,0.5078308346319638,-2631437,-1807806,0.25,-0.05997233681680814,-0.05193231728821959,-2.209164880491848,-2.252134128222307
,False,"{""lower_level_enabled"":true,""market_return20_min"":0.0,""maximum_horizon"":15,""residual_z_max"":-0.5,""spacing_atr_multiplier"":0.75,""stop_steps"":2}",0.0,-0.5,0.75,True,2,15,43,-1587972,20186,0.5078308346319638,-2631437,-1807806,0.25,-0.05997233681680814,-0.05193231728821959,-2.209164880491848,-2.252134128222307
,False,"{""lower_level_enabled"":true,""market_return20_min"":0.0,""maximum_horizon"":20,""residual_z_max"":-0.5,""spacing_atr_multiplier"":0.75,""stop_steps"":2}",0.0,-0.5,0.75,True,2,20,42,-1675391,11431.0,0.4807365683178799,-2676285,-1895225,0.25,-0.05997233681680814,-0.05269454972762884,-2.2783060591741537,-2.3214658650144653
,False,"{""lower_level_enabled"":true,""market_return20_min"":0.0,""maximum_horizon"":10,""residual_z_max"":-0.5,""spacing_atr_multiplier"":0.75,""stop_steps"":3}",0.0,-0.5,0.75,True,3,10,42,-1629428,27490.5,0.5067134736898191,-2688449,-1849262,0.25,-0.09042168459115582,-0.057172117924716,-2.2076223631477414,-2.2671262349244983
