rank,eligible,parameter_json,lookback_months,shrinkage_k,downside_penalty,top_k,selected_campaigns,selected_pnl_vnd,control_pnl_vnd,incremental_pnl_vnd,median_pnl_vnd,profit_factor,double_cost_pnl_vnd,best_removed_pnl_vnd,positive_active_rotation_fraction,maximum_ticker_positive_fraction
,False,"{""downside_penalty"":0.25,""lookback_months"":6,""shrinkage_k"":5,""top_k"":1}",6,5,0.25,1,0,0,-256518,256518,,,0,0,0.0,0.0
,False,"{""downside_penalty"":0.25,""lookback_months"":6,""shrinkage_k"":5,""top_k"":2}",6,5,0.25,2,0,0,-256518,256518,,,0,0,0.0,0.0
,False,"{""downside_penalty"":0.25,""lookback_months"":6,""shrinkage_k"":5,""top_k"":3}",6,5,0.25,3,0,0,-256518,256518,,,0,0,0.0,0.0
,False,"{""downside_penalty"":0.5,""lookback_months"":6,""shrinkage_k"":5,""top_k"":1}",6,5,0.5,1,0,0,-256518,256518,,,0,0,0.0,0.0
,False,"{""downside_penalty"":0.5,""lookback_months"":6,""shrinkage_k"":5,""top_k"":2}",6,5,0.5,2,0,0,-256518,256518,,,0,0,0.0,0.0
,False,"{""downside_penalty"":0.5,""lookback_months"":6,""shrinkage_k"":5,""top_k"":3}",6,5,0.5,3,0,0,-256518,256518,,,0,0,0.0,0.0
,False,"{""downside_penalty"":0.25,""lookback_months"":6,""shrinkage_k"":10,""top_k"":1}",6,10,0.25,1,0,0,-256518,256518,,,0,0,0.0,0.0
,False,"{""downside_penalty"":0.25,""lookback_months"":6,""shrinkage_k"":10,""top_k"":2}",6,10,0.25,2,0,0,-256518,256518,,,0,0,0.0,0.0
,False,"{""downside_penalty"":0.25,""lookback_months"":6,""shrinkage_k"":10,""top_k"":3}",6,10,0.25,3,0,0,-256518,256518,,,0,0,0.0,0.0
,False,"{""downside_penalty"":0.5,""lookback_months"":6,""shrinkage_k"":10,""top_k"":1}",6,10,0.5,1,0,0,-256518,256518,,,0,0,0.0,0.0
,False,"{""downside_penalty"":0.5,""lookback_months"":6,""shrinkage_k"":10,""top_k"":2}",6,10,0.5,2,0,0,-256518,256518,,,0,0,0.0,0.0
,False,"{""downside_penalty"":0.5,""lookback_months"":6,""shrinkage_k"":10,""top_k"":3}",6,10,0.5,3,0,0,-256518,256518,,,0,0,0.0,0.0
,False,"{""downside_penalty"":0.25,""lookback_months"":12,""shrinkage_k"":5,""top_k"":1}",12,5,0.25,1,2,-294990,-256518,-38472,-147495.0,0.0,-389763,-177210,0.0,0.0
,False,"{""downside_penalty"":0.25,""lookback_months"":12,""shrinkage_k"":5,""top_k"":2}",12,5,0.25,2,2,-294990,-256518,-38472,-147495.0,0.0,-389763,-177210,0.0,0.0
,False,"{""downside_penalty"":0.25,""lookback_months"":12,""shrinkage_k"":5,""top_k"":3}",12,5,0.25,3,2,-294990,-256518,-38472,-147495.0,0.0,-389763,-177210,0.0,0.0
,False,"{""downside_penalty"":0.5,""lookback_months"":12,""shrinkage_k"":5,""top_k"":1}",12,5,0.5,1,2,-294990,-256518,-38472,-147495.0,0.0,-389763,-177210,0.0,0.0
,False,"{""downside_penalty"":0.5,""lookback_months"":12,""shrinkage_k"":5,""top_k"":2}",12,5,0.5,2,2,-294990,-256518,-38472,-147495.0,0.0,-389763,-177210,0.0,0.0
,False,"{""downside_penalty"":0.5,""lookback_months"":12,""shrinkage_k"":5,""top_k"":3}",12,5,0.5,3,2,-294990,-256518,-38472,-147495.0,0.0,-389763,-177210,0.0,0.0
,False,"{""downside_penalty"":0.25,""lookback_months"":12,""shrinkage_k"":10,""top_k"":1}",12,10,0.25,1,0,0,-256518,256518,,,0,0,0.0,0.0
,False,"{""downside_penalty"":0.25,""lookback_months"":12,""shrinkage_k"":10,""top_k"":2}",12,10,0.25,2,0,0,-256518,256518,,,0,0,0.0,0.0
,False,"{""downside_penalty"":0.25,""lookback_months"":12,""shrinkage_k"":10,""top_k"":3}",12,10,0.25,3,0,0,-256518,256518,,,0,0,0.0,0.0
,False,"{""downside_penalty"":0.5,""lookback_months"":12,""shrinkage_k"":10,""top_k"":1}",12,10,0.5,1,0,0,-256518,256518,,,0,0,0.0,0.0
,False,"{""downside_penalty"":0.5,""lookback_months"":12,""shrinkage_k"":10,""top_k"":2}",12,10,0.5,2,0,0,-256518,256518,,,0,0,0.0,0.0
,False,"{""downside_penalty"":0.5,""lookback_months"":12,""shrinkage_k"":10,""top_k"":3}",12,10,0.5,3,0,0,-256518,256518,,,0,0,0.0,0.0
