rank,eligible,parameter_json,ridge_penalty,risk_penalty,score_buffer,top_k,selected_campaigns,selected_pnl_vnd,control_pnl_vnd,incremental_pnl_vnd,median_pnl_vnd,profit_factor,double_cost_pnl_vnd,best_removed_pnl_vnd,positive_active_fold_fraction,maximum_ticker_positive_fraction,entry_years,maximum_year_fraction,score_quintile_spread
,False,"{""ridge_penalty"":10,""risk_penalty"":0.0,""score_buffer"":0.0,""top_k"":1}",10,0.0,0.0,1,23,-1297888,-256518,-1041370,-50043,0.35847840485581817,-1984634,-1493144,0.375,0.2692250417785818,2,0.6956521739130435,0.0032279444530451005
,False,"{""ridge_penalty"":10,""risk_penalty"":0.0,""score_buffer"":0.0,""top_k"":2}",10,0.0,0.0,2,24,-1165679,-256518,-909161,-42360.0,0.4238268236503653,-1869916,-1461386,0.375,0.3448634981649311,2,0.7083333333333334,0.0032279444530451005
,False,"{""ridge_penalty"":10,""risk_penalty"":0.0,""score_buffer"":0.0,""top_k"":3}",10,0.0,0.0,3,25,-1306669,-256518,-1050151,-34677,0.35413812192927824,-2011795,-1420674,0.25,0.37688894595873385,2,0.72,0.0032279444530451005
,False,"{""ridge_penalty"":10,""risk_penalty"":0.0,""score_buffer"":0.001,""top_k"":1}",10,0.0,0.001,1,19,-743454,-256518,-486936,-34677,0.4552895862655611,-1331491,-938710,0.3333333333333333,0.31421596473808633,2,0.7894736842105263,0.0032279444530451005
,False,"{""ridge_penalty"":10,""risk_penalty"":0.0,""score_buffer"":0.001,""top_k"":2}",10,0.0,0.001,2,20,-611245,-256518,-354727,-22862.0,0.5521558605601596,-1216773,-906952,0.3333333333333333,0.3923841850491497,2,0.8,0.0032279444530451005
,False,"{""ridge_penalty"":10,""risk_penalty"":0.0,""score_buffer"":0.001,""top_k"":3}",10,0.0,0.001,3,21,-752235,-256518,-495717,-11047,0.4488559640871854,-1358652,-866240,0.3333333333333333,0.4407746324837666,2,0.8095238095238095,0.0032279444530451005
,False,"{""ridge_penalty"":10,""risk_penalty"":0.25,""score_buffer"":0.0,""top_k"":1}",10,0.25,0.0,1,15,-727459,-256518,-470941,-34677,0.3694064718579069,-1184529,-842695,0.4,0.39305316660057116,2,0.8,0.004696135894466151
,False,"{""ridge_penalty"":10,""risk_penalty"":0.25,""score_buffer"":0.0,""top_k"":2}",10,0.25,0.0,2,16,-456489,-256518,-199971,-17246.5,0.604295212420142,-977376,-752196,0.4,0.42418317623482865,2,0.8125,0.004696135894466151
,False,"{""ridge_penalty"":10,""risk_penalty"":0.25,""score_buffer"":0.0,""top_k"":3}",10,0.25,0.0,3,16,-700009,-256518,-443491,-17246.5,0.393201341874637,-1174325,-814014,0.4,0.36926726352014216,2,0.8125,0.004696135894466151
,False,"{""ridge_penalty"":10,""risk_penalty"":0.25,""score_buffer"":0.001,""top_k"":1}",10,0.25,0.001,1,10,-249494,-256518,7024,-34028.5,0.5226676156147883,-573827,-364730,0.3333333333333333,0.4224898422343424,2,0.8,0.004696135894466151
