rank,eligible,parameter_json,ridge_penalty,minimum_target_probability,risk_penalty,score_buffer,top_k,selected_campaigns,selected_targets,selected_pnl_vnd,control_pnl_vnd,incremental_pnl_vnd,median_pnl_vnd,profit_factor,double_cost_pnl_vnd,best_removed_pnl_vnd,target_gains_vnd,other_losses_vnd,grid_economic_pnl_vnd,positive_active_fold_fraction,maximum_ticker_positive_fraction,entry_years,maximum_year_fraction,target_rate_quintile_spread
,False,"{""minimum_target_probability"":0.3,""ridge_penalty"":10,""risk_penalty"":1.0,""score_buffer"":0.0,""top_k"":1}",10,0.3,1.0,0.0,1,8,0,-562408,-256518,-305890,-99588.5,0.39442934607052255,-884351,-858115,0,928724,-928724,0.0,0.8072456567553696,2,0.875,0.1396825396825397
,False,"{""minimum_target_probability"":0.3,""ridge_penalty"":10,""risk_penalty"":1.0,""score_buffer"":0.0,""top_k"":2}",10,0.3,1.0,0.0,2,8,0,-562408,-256518,-305890,-99588.5,0.39442934607052255,-884351,-858115,0,928724,-928724,0.0,0.8072456567553696,2,0.875,0.1396825396825397
,False,"{""minimum_target_probability"":0.3,""ridge_penalty"":10,""risk_penalty"":1.0,""score_buffer"":0.0,""top_k"":3}",10,0.3,1.0,0.0,3,8,0,-562408,-256518,-305890,-99588.5,0.39442934607052255,-884351,-858115,0,928724,-928724,0.0,0.8072456567553696,2,0.875,0.1396825396825397
,False,"{""minimum_target_probability"":0.3,""ridge_penalty"":10,""risk_penalty"":1.0,""score_buffer"":0.001,""top_k"":1}",10,0.3,1.0,0.001,1,6,0,-178426,-256518,78092,-99588.5,0.6618337161788229,-441399,-474133,0,527628,-527628,0.0,0.8468078647888615,1,1.0,0.1396825396825397
,False,"{""minimum_target_probability"":0.3,""ridge_penalty"":10,""risk_penalty"":1.0,""score_buffer"":0.001,""top_k"":2}",10,0.3,1.0,0.001,2,7,0,-256554,-256518,-36,-78128,0.5764730353475657,-537752,-552261,0,605756,-605756,0.0,0.8468078647888615,1,1.0,0.1396825396825397
,False,"{""minimum_target_probability"":0.3,""ridge_penalty"":10,""risk_penalty"":1.0,""score_buffer"":0.001,""top_k"":3}",10,0.3,1.0,0.001,3,7,0,-256554,-256518,-36,-78128,0.5764730353475657,-537752,-552261,0,605756,-605756,0.0,0.8468078647888615,1,1.0,0.1396825396825397
,False,"{""minimum_target_probability"":0.3,""ridge_penalty"":10,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":1}",10,0.3,1.5,0.0,1,4,0,-323972,-256518,-67454,-99588.5,0.14172099812698857,-507607,-377467,0,377467,-377467,0.0,1.0,1,1.0,0.1492063492063492
,False,"{""minimum_target_probability"":0.3,""ridge_penalty"":10,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":2}",10,0.3,1.5,0.0,2,5,0,-402100,-256518,-145582,-78128,0.11741788211020752,-603960,-455595,0,455595,-455595,0.0,1.0,1,1.0,0.1492063492063492
,False,"{""minimum_target_probability"":0.3,""ridge_penalty"":10,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":3}",10,0.3,1.5,0.0,3,5,0,-402100,-256518,-145582,-78128,0.11741788211020752,-603960,-455595,0,455595,-455595,0.0,1.0,1,1.0,0.1492063492063492
,False,"{""minimum_target_probability"":0.3,""ridge_penalty"":10,""risk_penalty"":1.5,""score_buffer"":0.001,""top_k"":1}",10,0.3,1.5,0.001,1,4,0,-303382,-256518,-46864,-81278.0,0.1857943002219473,-486526,-356877,0,372611,-372611,0.0,1.0,1,1.0,0.1492063492063492
