rank,eligible,parameter_json,ridge_penalty,minimum_target_probability,risk_penalty,score_buffer,top_k,selected_campaigns,selected_targets,selected_pnl_vnd,control_pnl_vnd,incremental_pnl_vnd,median_pnl_vnd,profit_factor,double_cost_pnl_vnd,best_removed_pnl_vnd,target_gains_vnd,other_losses_vnd,grid_economic_pnl_vnd,positive_active_fold_fraction,maximum_ticker_positive_fraction,entry_years,maximum_year_fraction,target_rate_quintile_spread
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":10,""risk_penalty"":1.0,""score_buffer"":0.0,""top_k"":1}",10,0.25,1.0,0.0,1,21,11,-772575,-606678,-165897,3602,0.6620910878998365,-1287170,-1102850,1558373,2334550,-776177,0.25,0.3837085784724984,2,0.5714285714285714,-0.07902735562310026
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":10,""risk_penalty"":1.0,""score_buffer"":0.0,""top_k"":2}",10,0.25,1.0,0.0,2,21,11,-833025,-606678,-226347,3602,0.6356514623146766,-1328060,-1163300,1497923,2334550,-836627,0.25,0.3580742247384602,2,0.5714285714285714,-0.07902735562310026
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":10,""risk_penalty"":1.0,""score_buffer"":0.0,""top_k"":3}",10,0.25,1.0,0.0,3,22,12,-685810,-606678,-79132,14867.0,0.700040370181001,-1197870,-1016085,1645138,2334550,-689412,0.25,0.37268881389988695,2,0.5909090909090909,-0.07902735562310026
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":10,""risk_penalty"":1.0,""score_buffer"":0.001,""top_k"":1}",10,0.25,1.0,0.001,1,17,8,-1381686,-606678,-775008,-92240,0.34838426711941145,-1727145,-1610226,846773,2228459,-1381686,0.375,0.3093754822570034,2,0.5294117647058824,-0.07902735562310026
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":10,""risk_penalty"":1.0,""score_buffer"":0.001,""top_k"":2}",10,0.25,1.0,0.001,2,17,8,-1442136,-606678,-835458,-92240,0.31987549518958686,-1768035,-1610226,786323,2228459,-1442136,0.25,0.2934550558484602,2,0.5294117647058824,-0.07902735562310026
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":10,""risk_penalty"":1.0,""score_buffer"":0.001,""top_k"":3}",10,0.25,1.0,0.001,3,17,8,-1442136,-606678,-835458,-92240,0.31987549518958686,-1768035,-1610226,786323,2228459,-1442136,0.25,0.2934550558484602,2,0.5294117647058824,-0.07902735562310026
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":10,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":1}",10,0.25,1.5,0.0,1,8,2,-1811810,-606678,-1205132,-329615.0,0.08421135100572934,-2066220,-1952585,243465,2055275,-1811810,0.0,0.8449626361753849,2,0.625,-0.05167173252279633
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":10,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":2}",10,0.25,1.5,0.0,2,8,2,-1811810,-606678,-1205132,-329615.0,0.08421135100572934,-2066220,-1952585,243465,2055275,-1811810,0.0,0.8449626361753849,2,0.625,-0.05167173252279633
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":10,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":3}",10,0.25,1.5,0.0,3,8,2,-1811810,-606678,-1205132,-329615.0,0.08421135100572934,-2066220,-1952585,243465,2055275,-1811810,0.0,0.8449626361753849,2,0.625,-0.05167173252279633
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":10,""risk_penalty"":1.5,""score_buffer"":0.001,""top_k"":1}",10,0.25,1.5,0.001,1,8,2,-1811810,-606678,-1205132,-329615.0,0.08421135100572934,-2066220,-1952585,243465,2055275,-1811810,0.0,0.8449626361753849,2,0.625,-0.05167173252279633
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":10,""risk_penalty"":1.5,""score_buffer"":0.001,""top_k"":2}",10,0.25,1.5,0.001,2,8,2,-1811810,-606678,-1205132,-329615.0,0.08421135100572934,-2066220,-1952585,243465,2055275,-1811810,0.0,0.8449626361753849,2,0.625,-0.05167173252279633
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":10,""risk_penalty"":1.5,""score_buffer"":0.001,""top_k"":3}",10,0.25,1.5,0.001,3,8,2,-1811810,-606678,-1205132,-329615.0,0.08421135100572934,-2066220,-1952585,243465,2055275,-1811810,0.0,0.8449626361753849,2,0.625,-0.05167173252279633
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":10,""risk_penalty"":1.0,""score_buffer"":0.0,""top_k"":1}",10,0.4,1.0,0.0,1,21,11,-772575,-606678,-165897,3602,0.6620910878998365,-1287170,-1102850,1558373,2334550,-776177,0.25,0.3837085784724984,2,0.5714285714285714,-0.07902735562310026
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":10,""risk_penalty"":1.0,""score_buffer"":0.0,""top_k"":2}",10,0.4,1.0,0.0,2,21,11,-833025,-606678,-226347,3602,0.6356514623146766,-1328060,-1163300,1497923,2334550,-836627,0.25,0.3580742247384602,2,0.5714285714285714,-0.07902735562310026
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":10,""risk_penalty"":1.0,""score_buffer"":0.0,""top_k"":3}",10,0.4,1.0,0.0,3,22,12,-685810,-606678,-79132,14867.0,0.700040370181001,-1197870,-1016085,1645138,2334550,-689412,0.25,0.37268881389988695,2,0.5909090909090909,-0.07902735562310026
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":10,""risk_penalty"":1.0,""score_buffer"":0.001,""top_k"":1}",10,0.4,1.0,0.001,1,17,8,-1381686,-606678,-775008,-92240,0.34838426711941145,-1727145,-1610226,846773,2228459,-1381686,0.375,0.3093754822570034,2,0.5294117647058824,-0.07902735562310026
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":10,""risk_penalty"":1.0,""score_buffer"":0.001,""top_k"":2}",10,0.4,1.0,0.001,2,17,8,-1442136,-606678,-835458,-92240,0.31987549518958686,-1768035,-1610226,786323,2228459,-1442136,0.25,0.2934550558484602,2,0.5294117647058824,-0.07902735562310026
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":10,""risk_penalty"":1.0,""score_buffer"":0.001,""top_k"":3}",10,0.4,1.0,0.001,3,17,8,-1442136,-606678,-835458,-92240,0.31987549518958686,-1768035,-1610226,786323,2228459,-1442136,0.25,0.2934550558484602,2,0.5294117647058824,-0.07902735562310026
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":10,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":1}",10,0.4,1.5,0.0,1,8,2,-1811810,-606678,-1205132,-329615.0,0.08421135100572934,-2066220,-1952585,243465,2055275,-1811810,0.0,0.8449626361753849,2,0.625,-0.05167173252279633
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":10,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":2}",10,0.4,1.5,0.0,2,8,2,-1811810,-606678,-1205132,-329615.0,0.08421135100572934,-2066220,-1952585,243465,2055275,-1811810,0.0,0.8449626361753849,2,0.625,-0.05167173252279633
,False,"{""minimum_target_probability"":0.4,""ridge_penalty"":10,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":3}",10,0.4,1.5,0.0,3,8,2,-1811810,-606678,-1205132,-329615.0,0.08421135100572934,-2066220,-1952585,243465,2055275,-1811810,0.0,0.8449626361753849,2,0.625,-0.05167173252279633
