rank,eligible,parameter_json,ridge_penalty,minimum_target_probability,risk_penalty,score_buffer,top_k,selected_campaigns,selected_targets,selected_pnl_vnd,control_pnl_vnd,incremental_pnl_vnd,median_pnl_vnd,profit_factor,double_cost_pnl_vnd,best_removed_pnl_vnd,target_gains_vnd,other_losses_vnd,grid_economic_pnl_vnd,positive_active_fold_fraction,maximum_ticker_positive_fraction,entry_years,maximum_year_fraction,target_rate_quintile_spread
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":10,""risk_penalty"":1.0,""score_buffer"":0.0,""top_k"":1}",10,0.25,1.0,0.0,1,10,4,-673015,-296888,-376127,-75708.0,0.48512401120002446,-921685,-1003290,710985,1384000,-673015,0.2,0.520835797358565,2,0.6,-0.06643356643356646
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":10,""risk_penalty"":1.0,""score_buffer"":0.0,""top_k"":2}",10,0.25,1.0,0.0,2,11,5,-554005,-296888,-257117,-37826,0.576170111847239,-818365,-884280,829995,1384000,-554005,0.2,0.5965530748139444,2,0.5454545454545454,-0.06643356643356646
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":10,""risk_penalty"":1.0,""score_buffer"":0.0,""top_k"":3}",10,0.25,1.0,0.0,3,12,5,-675551,-296888,-378663,-75708.0,0.5271522223917642,-948610,-1005826,829995,1505546,-675551,0.2,0.5965530748139444,2,0.5,-0.06643356643356646
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":10,""risk_penalty"":1.0,""score_buffer"":0.001,""top_k"":1}",10,0.25,1.0,0.001,1,8,4,-352679,-296888,-55791,-5998.0,0.6426048131138503,-578490,-682954,710985,1063664,-352679,0.4,0.520835797358565,2,0.5,-0.06643356643356646
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":10,""risk_penalty"":1.0,""score_buffer"":0.001,""top_k"":2}",10,0.25,1.0,0.001,2,8,4,-352679,-296888,-55791,-5998.0,0.6426048131138503,-578490,-682954,710985,1063664,-352679,0.4,0.520835797358565,2,0.5,-0.06643356643356646
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":10,""risk_penalty"":1.0,""score_buffer"":0.001,""top_k"":3}",10,0.25,1.0,0.001,3,8,4,-352679,-296888,-55791,-5998.0,0.6426048131138503,-578490,-682954,710985,1063664,-352679,0.4,0.520835797358565,2,0.5,-0.06643356643356646
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":10,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":1}",10,0.25,1.5,0.0,1,4,1,-807050,-296888,-510162,-178130.0,0.031012871001824992,-967560,-832880,102690,909740,-807050,0.0,1.0,2,0.75,-0.06293706293706292
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":10,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":2}",10,0.25,1.5,0.0,2,4,1,-807050,-296888,-510162,-178130.0,0.031012871001824992,-967560,-832880,102690,909740,-807050,0.0,1.0,2,0.75,-0.06293706293706292
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":10,""risk_penalty"":1.5,""score_buffer"":0.0,""top_k"":3}",10,0.25,1.5,0.0,3,4,1,-807050,-296888,-510162,-178130.0,0.031012871001824992,-967560,-832880,102690,909740,-807050,0.0,1.0,2,0.75,-0.06293706293706292
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":10,""risk_penalty"":1.5,""score_buffer"":0.001,""top_k"":1}",10,0.25,1.5,0.001,1,4,1,-807050,-296888,-510162,-178130.0,0.031012871001824992,-967560,-832880,102690,909740,-807050,0.0,1.0,2,0.75,-0.06293706293706292
,False,"{""minimum_target_probability"":0.25,""ridge_penalty"":10,""risk_penalty"":1.5,""score_buffer"":0.001,""top_k"":2}",10,0.25,1.5,0.001,2,4,1,-807050,-296888,-510162,-178130.0,0.031012871001824992,-967560,-832880,102690,909740,-807050,0.0,1.0,2,0.75,-0.06293706293706292
