partition,variant,fold_id,candidate_campaigns,selected_campaigns,selected_targets,selected_pnl_vnd,target_rate_quintile_spread
in_sample,anchor_touch_1,wf_01,28,8,4,-10770,0.2
in_sample,anchor_touch_1,wf_02,57,13,3,-441091,-0.09090909090909088
in_sample,anchor_touch_1,wf_03,13,5,3,125246,0.5
in_sample,anchor_touch_1,wf_04,18,5,1,-229253,-0.6666666666666666
in_sample,anchor_touch_1,wf_05,23,9,0,-949240,0.0
in_sample,anchor_touch_1,wf_06,0,0,0,0,
in_sample,anchor_touch_1,wf_07,6,2,2,276379,
in_sample,anchor_touch_1,wf_08,47,13,4,-820856,-0.4444444444444445
in_sample,anchor_touch_1,wf_09,20,6,1,-465131,-0.25
in_sample,anchor_reclaim_1,wf_01,21,7,3,-288812,-0.5
in_sample,anchor_reclaim_1,wf_02,45,14,7,-548351,-0.1111111111111111
in_sample,anchor_reclaim_1,wf_03,14,5,3,15081,0.5
in_sample,anchor_reclaim_1,wf_04,10,3,1,-16199,-1.0
in_sample,anchor_reclaim_1,wf_05,14,7,1,-916903,0.0
in_sample,anchor_reclaim_1,wf_06,0,0,0,0,
in_sample,anchor_reclaim_1,wf_07,9,3,3,262059,
in_sample,anchor_reclaim_1,wf_08,34,12,5,-424575,-0.3333333333333333
in_sample,anchor_reclaim_1,wf_09,20,7,2,-612194,-0.5
in_sample,anchor_reclaim_veto_1,wf_01,18,6,2,-346084,-0.3333333333333333
in_sample,anchor_reclaim_veto_1,wf_02,30,12,5,-231446,0.0
in_sample,anchor_reclaim_veto_1,wf_03,10,4,3,72737,0.5
in_sample,anchor_reclaim_veto_1,wf_04,10,3,1,-16199,-1.0
in_sample,anchor_reclaim_veto_1,wf_05,5,2,0,-340933,
in_sample,anchor_reclaim_veto_1,wf_06,0,0,0,0,
in_sample,anchor_reclaim_veto_1,wf_07,8,3,3,262059,
in_sample,anchor_reclaim_veto_1,wf_08,33,11,4,-551617,-0.16666666666666669
in_sample,anchor_reclaim_veto_1,wf_09,5,3,0,-350405,
in_sample,anchor_reclaim_veto_2,wf_01,19,7,3,-307630,0.0
in_sample,anchor_reclaim_veto_2,wf_02,32,13,6,-342909,0.16666666666666663
in_sample,anchor_reclaim_veto_2,wf_03,11,4,4,89194,0.0
in_sample,anchor_reclaim_veto_2,wf_04,11,3,2,-73527,-0.5
in_sample,anchor_reclaim_veto_2,wf_05,8,4,0,-614357,
in_sample,anchor_reclaim_veto_2,wf_06,0,0,0,0,
in_sample,anchor_reclaim_veto_2,wf_07,8,3,3,262059,
in_sample,anchor_reclaim_veto_2,wf_08,40,11,6,-207173,-0.125
in_sample,anchor_reclaim_veto_2,wf_09,6,3,0,-285448,
