variant,fold_id,signal_date,entry_date,exit_date,ticker,sector,fair_value_centre_vnd,signal_close_vnd,spacing_fraction,maximum_levels,first_level,maximum_inventory_shares,target_sales,net_pnl_vnd,double_cost_pnl_vnd,campaign_return,normal_target_gain_vnd,other_loss_vnd,target_completion,opportunity_score,fair_value_discount_fraction,crash_veto_triggered,hard_lower_triggered,residual_z5,residual_1,residual_slope20,downside_semivol20,residual_ar1_20,market_return20,close_minus_sma50_fraction,sma20_minus_sma50_fraction,atr20_fraction,log_median_value60
anchor_reclaim_veto_2,wf_01,2023-01-04,2023-01-05,2023-01-10,MWG,consumer_retail,45950,43500,0.03,2,2,100,0,-181968,-194755,-0.04181713140104212,0,181968,False,2.070116639428863,0.05331882480957562,True,False,-0.7967376469178213,-0.012667444239609324,-0.0008065234240289351,0.012147233668877176,-0.23533083829640006,0.013771608645138678,-0.027889514615178333,0.011944667918119246,0.04187192118226601,25.01950293878408
anchor_reclaim_veto_2,wf_01,2023-01-13,2023-01-16,2023-01-18,MWG,consumer_retail,43350,42050,0.026031934771530495,2,1,100,0,182580,169590,0.04309847285808875,0,0,False,1.980363232574218,0.029988465974625143,True,False,-1.1163725350573264,-0.00672068828006832,-0.0007375619505692809,0.012903441418379883,-0.1164078456937624,-0.022399637576461323,-0.034420997037819465,0.010930216537693173,0.03470924636204066,24.84754259447336
anchor_reclaim_veto_2,wf_01,2023-02-01,2023-02-02,2023-02-10,VPB,banks,18950,18300,0.025858704137392663,2,1,200,0,-129373,-140195,-0.035246715840738775,0,129373,False,2.5278511334379976,0.03430079155672823,False,True,-1.5329987413436084,-0.02586222938158024,-0.0011492383018032063,0.011304253289152218,0.039874550478630005,0.06903848309924332,0.037591427113454666,0.07189431309179566,0.03447827218319022,25.878175514704694
anchor_reclaim_veto_2,wf_01,2023-02-03,2023-02-06,2023-02-14,TCB,banks,27850,27100,0.020690564048497628,2,1,100,1,-6899,-23315,-0.0025187077667396954,38934,45833,True,1.756936338579834,0.026929982046678635,False,False,-0.7807673715247504,-0.015439437536990262,-0.0004797282989319302,0.007587966006236455,0.09033264780744031,0.08659968695095337,0.0018854671152353137,0.03552811564198307,0.02758741873133017,25.076200627836677
anchor_reclaim_veto_2,wf_01,2023-02-07,2023-02-08,2023-02-14,VND,securities,15050,14350,0.03,2,1,200,0,-161166,-169595,-0.05577975224688924,0,161166,False,2.3127545612517713,0.046511627906976744,True,True,-1.3325951857435587,-0.012459410332888499,-0.0005903839102781305,0.013134900360149995,-0.38247237575457455,0.01577354094193748,-0.005544005544005544,0.05474705474705475,0.047453127592500415,25.625914354965143
anchor_reclaim_veto_2,wf_01,2023-02-14,2023-02-15,2023-02-21,MBB,banks,18550,17850,0.019707883153261302,2,2,100,2,65339,54375,0.03574855914797416,65339,0,True,1.973537772899231,0.03773584905660377,False,False,-0.5374684308821827,-0.012799224733357595,-0.00012234486818219742,0.005687732236774619,-0.234006916807687,-0.008862700200300524,-0.021542509455681633,0.027243326207312395,0.026277177537681738,25.197943209149894
anchor_reclaim_veto_2,wf_01,2023-02-15,2023-02-16,2023-02-24,VPB,banks,18450,17200,0.02647425249169435,2,2,200,1,-76143,-92020,-0.02135644847335738,32860,109003,True,2.6129797387932676,0.06775067750677506,True,False,-0.6936428983660394,0.022187320878074623,-0.0004362034684441696,0.01273728251138791,0.038106915292780895,0.004112224293018945,-0.04856731939373825,0.02444960725743998,0.03529900332225913,25.86386685547126
anchor_reclaim_veto_2,wf_02,2023-03-06,2023-03-07,2023-03-15,VCB,banks,93000,91000,0.019427001569858715,2,1,100,1,76425,21300,0.008321759454602175,92995,16570,True,1.6131583028636267,0.021505376344086023,False,False,-0.7829204403676997,-0.0009253004319752737,4.146249768882175e-05,0.010102776815368177,-0.48269401744107776,-0.06647669995879825,0.02922547955121245,0.052015472312703585,0.02590266875981162,24.717103364073548
anchor_reclaim_veto_2,wf_02,2023-03-10,2023-03-13,2023-03-15,TCB,banks,27300,27150,0.020586687713759537,2,1,100,0,4222,-3855,0.0015700840601139147,0,0,False,1.1461138454213673,0.005494505494505495,True,False,-0.9459418129809641,-0.0180081518788282,-0.00047948637987626374,0.008222879996573493,-0.4568344072274054,0.0020424720229168846,-0.014125422128617596,-0.005773630124550637,0.02744891695167938,24.523185422123653
anchor_reclaim_veto_2,wf_02,2023-03-14,2023-03-16,2023-03-23,HPG,materials,21050,20300,0.026213933849401832,2,1,200,0,-31224,-43395,-0.007669675355395522,0,43153,False,2.632202238587224,0.035629453681710214,False,False,-1.6128172651299713,-0.019988908825929783,-0.00031059529299356137,0.007611220458202068,-0.25856508637182746,-0.0010201327200441992,-0.010528368102944044,0.02030122830961201,0.03495191179920244,26.044262864627488
