partition,variant,fold_id,candidate_campaigns,selected_campaigns,selected_targets,selected_pnl_vnd,target_rate_quintile_spread
in_sample,equilibrium_control_0,wf_01,31,9,2,-790576,0.16666666666666666
in_sample,equilibrium_control_0,wf_02,41,11,4,-822471,0.5
in_sample,equilibrium_control_0,wf_03,31,10,8,-6925,0.0
in_sample,equilibrium_control_0,wf_04,30,9,4,-335114,-0.3333333333333333
in_sample,equilibrium_control_0,wf_05,20,6,1,-456631,0.25
in_sample,equilibrium_control_0,wf_06,0,0,0,0,
in_sample,equilibrium_control_0,wf_07,36,8,4,-426353,-0.14285714285714285
in_sample,equilibrium_control_0,wf_08,56,18,8,-669545,-0.18181818181818182
in_sample,equilibrium_control_0,wf_09,17,9,0,-746935,0.0
in_sample,equilibrium_net_50,wf_01,31,9,2,-790576,0.16666666666666666
in_sample,equilibrium_net_50,wf_02,41,11,4,-822471,0.5
in_sample,equilibrium_net_50,wf_03,31,10,8,-6925,0.0
in_sample,equilibrium_net_50,wf_04,30,9,4,-335114,-0.3333333333333333
in_sample,equilibrium_net_50,wf_05,20,6,1,-456631,0.25
in_sample,equilibrium_net_50,wf_06,0,0,0,0,
in_sample,equilibrium_net_50,wf_07,36,8,4,-426353,-0.14285714285714285
in_sample,equilibrium_net_50,wf_08,56,18,8,-669545,-0.18181818181818182
in_sample,equilibrium_net_50,wf_09,17,9,0,-746935,0.0
in_sample,equilibrium_net_75,wf_01,31,9,2,-790576,0.16666666666666666
in_sample,equilibrium_net_75,wf_02,41,11,4,-817483,0.5
in_sample,equilibrium_net_75,wf_03,31,10,7,-31862,0.16666666666666674
in_sample,equilibrium_net_75,wf_04,30,9,4,-330127,-0.3333333333333333
in_sample,equilibrium_net_75,wf_05,20,6,1,-456631,0.25
in_sample,equilibrium_net_75,wf_06,0,0,0,0,
in_sample,equilibrium_net_75,wf_07,36,8,4,-421366,-0.14285714285714285
in_sample,equilibrium_net_75,wf_08,56,18,8,-669545,-0.18181818181818182
in_sample,equilibrium_net_75,wf_09,17,9,0,-746935,0.0
in_sample,equilibrium_net_100,wf_01,31,9,2,-790576,0.16666666666666666
in_sample,equilibrium_net_100,wf_02,41,11,3,-827458,0.5
in_sample,equilibrium_net_100,wf_03,31,10,7,-26874,0.16666666666666674
in_sample,equilibrium_net_100,wf_04,30,9,4,-325139,-0.3333333333333333
in_sample,equilibrium_net_100,wf_05,20,6,1,-456631,0.25
in_sample,equilibrium_net_100,wf_06,0,0,0,0,
in_sample,equilibrium_net_100,wf_07,36,8,4,-411391,-0.14285714285714285
in_sample,equilibrium_net_100,wf_08,56,18,8,-669545,-0.18181818181818182
in_sample,equilibrium_net_100,wf_09,17,9,0,-746935,0.0
