fold_id,primary_events,mean_net_return_t5,median_net_return_t5,win_rate_t5,profit_factor_t5,evaluable_for_stability
wf_01,1,-0.0123152468,-0.0123152468,0.0000000000,0.0000000000,False
wf_02,1,-0.0123152468,-0.0123152468,0.0000000000,0.0000000000,False
wf_03,1,-0.0123152468,-0.0123152468,0.0000000000,0.0000000000,False
wf_04,1,0.0131593037,0.0131593037,1.0000000000,infinity,False
wf_05,1,0.0131593037,0.0131593037,1.0000000000,infinity,False
wf_06,1,0.0131593037,0.0131593037,1.0000000000,infinity,False
wf_07,1,0.0131593037,0.0131593037,1.0000000000,infinity,False
wf_08,2,0.0068764768,0.0068764768,1.0000000000,infinity,False
wf_09,1,0.0005936500,0.0005936500,1.0000000000,infinity,False
wf_10,1,0.0005936500,0.0005936500,1.0000000000,infinity,False
wf_11,2,-0.0027654655,-0.0027654655,0.5000000000,0.0969290744,False
wf_12,2,-0.0027654655,-0.0027654655,0.5000000000,0.0969290744,False
wf_13,1,-0.0061245809,-0.0061245809,0.0000000000,0.0000000000,False
wf_14,1,-0.0061245809,-0.0061245809,0.0000000000,0.0000000000,False
wf_15,1,-0.0061245809,-0.0061245809,0.0000000000,0.0000000000,False
