trial_id,fold_id,tickersymbol,fit_end,deployment_start,deployment_end,anchor_vnd,grid_step_pct,lower_bound_vnd,upper_bound_vnd,slot_capital_vnd,reserve_fraction,level_id,buy_limit_vnd,sell_target_vnd,quantity
TRIAL5-HSX-ROTATION-LONG-GRID,wf_03,VPB,2023-04-28,2023-05-04,2023-06-30,19900,0.022864321608,18550,19900,50000000,0.7,0,19450,19900,300
TRIAL5-HSX-ROTATION-LONG-GRID,wf_04,PNJ,2023-06-30,2023-07-03,2023-08-31,75000,0.0185333333333,70900,75000,50000000,0.7,0,73600,75000,100
TRIAL5-HSX-ROTATION-LONG-GRID,wf_07,SSI,2023-12-29,2024-01-02,2024-02-29,32800,0.022256097561,30700,32800,50000000,0.7,0,32050,32800,200
TRIAL5-HSX-ROTATION-LONG-GRID,wf_07,MBB,2023-12-29,2024-01-02,2024-02-29,18650,0.015,17800,18650,50000000,0.7,0,18350,18650,300
TRIAL5-HSX-ROTATION-LONG-GRID,wf_08,MBB,2024-02-29,2024-03-01,2024-04-26,24150,0.0214285714286,22650,24150,50000000,0.7,0,23600,24150,300
TRIAL5-HSX-ROTATION-LONG-GRID,wf_08,HPG,2024-02-29,2024-03-01,2024-04-26,31000,0.0160483870968,29550,31000,50000000,0.7,0,30500,31000,200
TRIAL5-HSX-ROTATION-LONG-GRID,wf_09,TCB,2024-04-26,2024-05-02,2024-06-28,46600,0.0266630901288,43050,46600,50077024,0.7,0,45350,46600,100
TRIAL5-HSX-ROTATION-LONG-GRID,wf_09,HPG,2024-04-26,2024-05-02,2024-06-28,28400,0.0220070422535,26600,28400,50077024,0.7,0,27750,28400,200
TRIAL5-HSX-ROTATION-LONG-GRID,wf_10,MWG,2024-06-28,2024-07-01,2024-08-30,62400,0.0245192307692,58000,62400,50077024,0.7,0,60900,62400,100
TRIAL5-HSX-ROTATION-LONG-GRID,wf_10,VPB,2024-06-28,2024-07-01,2024-08-30,18650,0.0281501340483,17150,18650,50077024,0.7,0,18100,18650,400
TRIAL5-HSX-ROTATION-LONG-GRID,wf_11,MWG,2024-08-30,2024-09-04,2024-10-31,69800,0.0218481375358,65400,69800,50172269,0.7,0,68300,69800,100
TRIAL5-HSX-ROTATION-LONG-GRID,wf_11,HPG,2024-08-30,2024-09-04,2024-10-31,25500,0.0207843137255,23950,25500,50172269,0.7,0,24950,25500,200
TRIAL5-HSX-ROTATION-LONG-GRID,wf_12,TCB,2024-10-31,2024-11-01,2024-12-31,23900,0.015690376569,22800,23900,49989034,0.7,0,23500,23900,300
TRIAL5-HSX-ROTATION-LONG-GRID,wf_12,VND,2024-10-31,2024-11-01,2024-12-31,14550,0.0214776632302,13650,14550,49989034,0.7,0,14200,14550,500
TRIAL5-HSX-ROTATION-LONG-GRID,wf_13,TCB,2024-12-31,2025-01-02,2025-02-28,24650,0.0150101419878,23550,24650,49855234,0.7,0,24250,24650,300
TRIAL5-HSX-ROTATION-LONG-GRID,wf_13,HPG,2024-12-31,2025-01-02,2025-02-28,26650,0.0164165103189,25350,26650,49855234,0.7,0,26200,26650,200
TRIAL5-HSX-ROTATION-LONG-GRID,wf_14,TCB,2025-02-28,2025-03-03,2025-04-29,26100,0.0164750957854,24850,26100,49676096,0.7,0,25650,26100,200
TRIAL5-HSX-ROTATION-LONG-GRID,wf_14,HPG,2025-02-28,2025-03-03,2025-04-29,28000,0.0174107142857,26550,28000,49676096,0.7,0,27500,28000,200
