trial_id,fold_id,valid,invalid_reason,train_candidates,train_targets,oos_candidates,selected_campaigns,selected_targets,selected_net_pnl_vnd,selected_double_cost_net_pnl_vnd,brier_score,base_brier_score,mean_train_win_pnl_vnd,mean_train_nonwin_pnl_vnd,model_iterations,model_converged
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_01,True,,83,30,34,4,1,-168941,-228872,0.2996635022779028,0.24474652685867493,134139.03333333333,-138099.37735849057,6,True
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_02,True,,121,47,67,5,4,176888,72597,0.3512247849179867,0.28076542361615864,120494.82978723405,-125119.12162162163,6,True
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_03,True,,196,93,43,3,2,-22364,-122207,0.4125903837990183,0.26192272115300796,96087.1182795699,-124047.77669902913,4,True
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_04,True,,267,139,25,5,4,76305,16222,0.19781264903295015,0.23971271865224647,77555.3381294964,-123258.703125,4,True
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_05,True,,308,169,35,6,1,-364732,-441349,0.27910045570113046,0.25932914488109293,73286.78698224852,-121391.38129496403,4,True
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_06,True,,297,178,0,0,0,0,0,,,69500.51123595505,-109169.15126050421,5,True
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_07,True,,275,162,28,8,7,336611,150364,0.0879060228051761,0.18157355371900824,59946.753086419754,-106240.72566371682,5,True
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_08,True,,261,167,57,12,4,-847730,-1100707,0.40891376637163224,0.2965450796145249,56537.982035928144,-108726.4255319149,5,True
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_09,True,,251,154,29,4,3,28016,-93738,0.24842330054962827,0.2198235495988296,58500.21428571428,-106433.69072164949,5,True
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_10,True,,250,145,19,2,1,-40627,-69250,0.2748512684760886,0.2521894736842105,66138.59310344828,-108214.02857142857,5,True
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_11,True,,230,125,30,5,2,-200880,-359626,0.2690369571089841,0.24899180844360427,74706.08,-112551.37142857142,5,True
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_12,True,,231,127,48,6,1,-201220,-293521,0.315486686541433,0.27114723299788235,72917.0,-120590.99038461539,5,True
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_13,True,,291,146,38,2,2,110663,68635,0.25377433861455323,0.25000295225611413,71286.45890410959,-107028.21379310345,4,True
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_14,True,,291,128,52,0,0,0,0,0.31038543892737736,0.2651814093253141,68781.8359375,-103084.25153374232,5,True
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_15,True,,263,129,0,0,0,0,0,,,67380.75968992247,-119643.03731343284,5,True
