trial_id,fold_id,valid,invalid_reason,train_candidates,train_targets,oos_candidates,selected_campaigns,selected_targets,selected_net_pnl_vnd,selected_double_cost_net_pnl_vnd,brier_score,base_brier_score,mean_train_win_pnl_vnd,mean_train_nonwin_pnl_vnd,model_iterations,model_converged
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_01,False,model_not_converged,83,30,0,0,0,0,0,,,134139.03333333333,-138099.37735849057,4000,False
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_02,False,model_not_converged,121,47,0,0,0,0,0,,,120494.82978723405,-125119.12162162163,4000,False
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_03,False,model_not_converged,196,93,0,0,0,0,0,,,96087.1182795699,-124047.77669902913,4000,False
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_04,False,model_not_converged,267,139,0,0,0,0,0,,,77555.3381294964,-123258.703125,4000,False
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_05,False,model_not_converged,308,169,0,0,0,0,0,,,73286.78698224852,-121391.38129496403,4000,False
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_06,False,model_not_converged,297,178,0,0,0,0,0,,,69500.51123595505,-109169.15126050421,4000,False
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_07,False,model_not_converged,275,162,0,0,0,0,0,,,59946.753086419754,-106240.72566371682,4000,False
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_08,False,model_not_converged,261,167,0,0,0,0,0,,,56537.982035928144,-108726.4255319149,4000,False
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_09,False,model_not_converged,251,154,0,0,0,0,0,,,58500.21428571428,-106433.69072164949,4000,False
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_10,False,model_not_converged,250,145,0,0,0,0,0,,,66138.59310344828,-108214.02857142857,4000,False
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_11,False,model_not_converged,230,125,0,0,0,0,0,,,74706.08,-112551.37142857142,4000,False
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_12,False,model_not_converged,231,127,0,0,0,0,0,,,72917.0,-120590.99038461539,4000,False
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_13,False,model_not_converged,291,146,0,0,0,0,0,,,71286.45890410959,-107028.21379310345,4000,False
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_14,False,model_not_converged,291,128,0,0,0,0,0,,,68781.8359375,-103084.25153374232,4000,False
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_15,False,model_not_converged,263,129,0,0,0,0,0,,,67380.75968992247,-119643.03731343284,4000,False
