trial_id,fold_id,sample_role,ticker,signal_date,entry_date,reason,reset_dates
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_01,train,VPB,2022-09-23,2022-09-26,forward_reference_reset,2022-09-28
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_01,train,VPB,2022-09-26,2022-09-27,forward_reference_reset,2022-09-28
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_01,train,VPB,2022-09-27,2022-09-28,forward_reference_reset,2022-09-28
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_02,train,VPB,2022-09-23,2022-09-26,forward_reference_reset,2022-09-28
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_02,train,VPB,2022-09-26,2022-09-27,forward_reference_reset,2022-09-28
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_02,train,VPB,2022-09-27,2022-09-28,forward_reference_reset,2022-09-28
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_03,train,VPB,2022-09-23,2022-09-26,forward_reference_reset,2022-09-28
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_03,train,VPB,2022-09-26,2022-09-27,forward_reference_reset,2022-09-28
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_03,train,VPB,2022-09-27,2022-09-28,forward_reference_reset,2022-09-28
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_03,oos,PNJ,2023-05-25,2023-05-26,forward_reference_reset,2023-06-09
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_03,oos,MBB,2023-05-30,2023-05-31,forward_reference_reset,2023-06-14
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_03,oos,PNJ,2023-05-30,2023-05-31,forward_reference_reset,2023-06-09
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_03,oos,MBB,2023-05-31,2023-06-01,forward_reference_reset,2023-06-14
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_03,oos,PNJ,2023-06-01,2023-06-02,forward_reference_reset,2023-06-09
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_03,oos,SSI,2023-06-05,2023-06-06,forward_reference_reset,2023-06-20
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_03,oos,SSI,2023-06-08,2023-06-09,forward_reference_reset,2023-06-20
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_03,oos,MBB,2023-06-13,2023-06-14,forward_reference_reset,2023-06-14
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_04,train,VPB,2022-09-23,2022-09-26,forward_reference_reset,2022-09-28
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_04,train,VPB,2022-09-26,2022-09-27,forward_reference_reset,2022-09-28
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_04,train,VPB,2022-09-27,2022-09-28,forward_reference_reset,2022-09-28
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_04,train,PNJ,2023-05-25,2023-05-26,forward_reference_reset,2023-06-09
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_04,train,MBB,2023-05-30,2023-05-31,forward_reference_reset,2023-06-14
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_04,train,PNJ,2023-05-30,2023-05-31,forward_reference_reset,2023-06-09
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_04,train,MBB,2023-05-31,2023-06-01,forward_reference_reset,2023-06-14
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_04,train,PNJ,2023-06-01,2023-06-02,forward_reference_reset,2023-06-09
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_04,train,SSI,2023-06-05,2023-06-06,forward_reference_reset,2023-06-20
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_04,train,SSI,2023-06-08,2023-06-09,forward_reference_reset,2023-06-20
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_04,train,MBB,2023-06-13,2023-06-14,forward_reference_reset,2023-06-14
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_05,train,VPB,2022-09-23,2022-09-26,forward_reference_reset,2022-09-28
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_05,train,VPB,2022-09-26,2022-09-27,forward_reference_reset,2022-09-28
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_05,train,VPB,2022-09-27,2022-09-28,forward_reference_reset,2022-09-28
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_05,train,PNJ,2023-05-25,2023-05-26,forward_reference_reset,2023-06-09
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_05,train,MBB,2023-05-30,2023-05-31,forward_reference_reset,2023-06-14
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_05,train,PNJ,2023-05-30,2023-05-31,forward_reference_reset,2023-06-09
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_05,train,MBB,2023-05-31,2023-06-01,forward_reference_reset,2023-06-14
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_05,train,PNJ,2023-06-01,2023-06-02,forward_reference_reset,2023-06-09
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_05,train,SSI,2023-06-05,2023-06-06,forward_reference_reset,2023-06-20
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_05,train,SSI,2023-06-08,2023-06-09,forward_reference_reset,2023-06-20
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_05,train,MBB,2023-06-13,2023-06-14,forward_reference_reset,2023-06-14
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_05,oos,MBB,2023-10-12,2023-10-13,forward_reference_reset,2023-10-27
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_05,oos,HPG,2023-10-16,2023-10-17,forward_reference_reset,2023-10-27
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_05,oos,SSI,2023-10-16,2023-10-17,forward_reference_reset,2023-10-27
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_06,train,PNJ,2023-05-25,2023-05-26,forward_reference_reset,2023-06-09
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_06,train,MBB,2023-05-30,2023-05-31,forward_reference_reset,2023-06-14
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_06,train,PNJ,2023-05-30,2023-05-31,forward_reference_reset,2023-06-09
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_06,train,MBB,2023-05-31,2023-06-01,forward_reference_reset,2023-06-14
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_06,train,PNJ,2023-06-01,2023-06-02,forward_reference_reset,2023-06-09
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_06,train,SSI,2023-06-05,2023-06-06,forward_reference_reset,2023-06-20
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_06,train,SSI,2023-06-08,2023-06-09,forward_reference_reset,2023-06-20
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_06,train,MBB,2023-06-13,2023-06-14,forward_reference_reset,2023-06-14
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_06,train,MBB,2023-10-12,2023-10-13,forward_reference_reset,2023-10-27
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_06,train,HPG,2023-10-16,2023-10-17,forward_reference_reset,2023-10-27
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_06,train,SSI,2023-10-16,2023-10-17,forward_reference_reset,2023-10-27
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_07,train,PNJ,2023-05-25,2023-05-26,forward_reference_reset,2023-06-09
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_07,train,MBB,2023-05-30,2023-05-31,forward_reference_reset,2023-06-14
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_07,train,PNJ,2023-05-30,2023-05-31,forward_reference_reset,2023-06-09
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_07,train,MBB,2023-05-31,2023-06-01,forward_reference_reset,2023-06-14
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_07,train,PNJ,2023-06-01,2023-06-02,forward_reference_reset,2023-06-09
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_07,train,SSI,2023-06-05,2023-06-06,forward_reference_reset,2023-06-20
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_07,train,SSI,2023-06-08,2023-06-09,forward_reference_reset,2023-06-20
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_07,train,MBB,2023-06-13,2023-06-14,forward_reference_reset,2023-06-14
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_07,train,MBB,2023-10-12,2023-10-13,forward_reference_reset,2023-10-27
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_07,train,HPG,2023-10-16,2023-10-17,forward_reference_reset,2023-10-27
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_07,train,SSI,2023-10-16,2023-10-17,forward_reference_reset,2023-10-27
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_07,train,HPG,2023-10-17,2023-10-18,forward_reference_reset,2023-10-27
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_07,train,HPG,2023-10-18,2023-10-19,forward_reference_reset,2023-10-27
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_07,train,PNJ,2023-10-18,2023-10-19,forward_reference_reset,2023-10-20|2023-10-27
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_07,train,PNJ,2023-10-19,2023-10-20,forward_reference_reset,2023-10-20|2023-10-27
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_07,train,MWG,2023-10-23,2023-10-24,forward_reference_reset,2023-10-27
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_07,train,MWG,2023-10-24,2023-10-25,forward_reference_reset,2023-10-27
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_07,train,VPB,2023-10-24,2023-10-25,forward_reference_reset,2023-10-27
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_07,train,VPB,2023-10-25,2023-10-26,forward_reference_reset,2023-10-27|2023-11-09
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_07,train,VPB,2023-10-26,2023-10-27,forward_reference_reset,2023-10-27|2023-11-09
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_08,train,PNJ,2023-05-25,2023-05-26,forward_reference_reset,2023-06-09
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_08,train,MBB,2023-05-30,2023-05-31,forward_reference_reset,2023-06-14
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_08,train,PNJ,2023-05-30,2023-05-31,forward_reference_reset,2023-06-09
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_08,train,MBB,2023-05-31,2023-06-01,forward_reference_reset,2023-06-14
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_08,train,PNJ,2023-06-01,2023-06-02,forward_reference_reset,2023-06-09
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_08,train,SSI,2023-06-05,2023-06-06,forward_reference_reset,2023-06-20
TRIAL6-HSX-POOLED-MEAN-REVERSION-EDGE,wf_08,train,SSI,2023-06-08,2023-06-09,forward_reference_reset,2023-06-20
