trial_id,fold_id,valid,candidate_count,selected_episodes,target_sales,lower_level_fills,net_pnl_vnd,double_cost_net_pnl_vnd
TRIAL7-HSX-CONFIRMED-EPISODIC-GRID,wf_01,True,6,2,1,1,-225253,-265500
TRIAL7-HSX-CONFIRMED-EPISODIC-GRID,wf_02,True,11,5,5,3,-78479,-277220
TRIAL7-HSX-CONFIRMED-EPISODIC-GRID,wf_03,True,6,3,2,0,-292480,-354645
TRIAL7-HSX-CONFIRMED-EPISODIC-GRID,wf_04,True,4,2,2,0,96882,73671
TRIAL7-HSX-CONFIRMED-EPISODIC-GRID,wf_05,True,5,4,1,1,-711854,-808988
TRIAL7-HSX-CONFIRMED-EPISODIC-GRID,wf_06,True,0,0,0,0,0,0
TRIAL7-HSX-CONFIRMED-EPISODIC-GRID,wf_07,True,2,1,1,0,38876,27754
TRIAL7-HSX-CONFIRMED-EPISODIC-GRID,wf_08,True,10,5,2,1,-476304,-607882
TRIAL7-HSX-CONFIRMED-EPISODIC-GRID,wf_09,True,6,2,1,0,-342614,-405117
TRIAL7-HSX-CONFIRMED-EPISODIC-GRID,wf_10,True,4,2,2,1,-112493,-160375
TRIAL7-HSX-CONFIRMED-EPISODIC-GRID,wf_11,True,1,1,2,1,31617,13139
TRIAL7-HSX-CONFIRMED-EPISODIC-GRID,wf_12,True,6,3,2,1,-430550,-491086
TRIAL7-HSX-CONFIRMED-EPISODIC-GRID,wf_13,True,2,2,2,0,101814,63637
TRIAL7-HSX-CONFIRMED-EPISODIC-GRID,wf_14,True,4,4,2,0,-645744,-761267
TRIAL7-HSX-CONFIRMED-EPISODIC-GRID,wf_15,True,0,0,0,0,0,0
