role,trading_date,equity_vnd,available_cash_vnd,pending_cash_vnd,inventory_liquidation_value_vnd,realized_pnl_vnd,unrealized_pnl_vnd,benchmark_equity_vnd,selected_sector,selected_tickers
locked_final_test,2025-07-14,1000000000,1000000000,0,0,0,0,1000000000,securities,VND|SSI
locked_final_test,2025-07-15,1000000000,1000000000,0,0,0,0,999212598,securities,VND|SSI
locked_final_test,2025-07-16,1000000000,1000000000,0,0,0,0,1013566185,securities,VND|SSI
locked_final_test,2025-07-17,1000000000,1000000000,0,0,0,0,1016505531,securities,VND|SSI
locked_final_test,2025-07-18,1000000000,1000000000,0,0,0,0,1027414793,securities,VND|SSI
locked_final_test,2025-07-21,1000000000,1000000000,0,0,0,0,1021905967,securities,VND|SSI
locked_final_test,2025-07-22,1000000000,1000000000,0,0,0,0,1039163580,securities,VND|SSI
locked_final_test,2025-07-23,1000000000,1000000000,0,0,0,0,1050741574,securities,VND|SSI
locked_final_test,2025-07-24,1000000000,1000000000,0,0,0,0,1059389998,securities,VND|SSI
locked_final_test,2025-07-25,1000000000,1000000000,0,0,0,0,1087378363,securities,VND|SSI
locked_final_test,2025-07-28,1000000000,1000000000,0,0,0,0,1123618839,securities,VND|SSI
locked_final_test,2025-07-29,1000000000,1000000000,0,0,0,0,1059819833,securities,VND|SSI
locked_final_test,2025-07-30,1000000000,1000000000,0,0,0,0,1092296182,securities,VND|SSI
locked_final_test,2025-07-31,1000000000,1000000000,0,0,0,0,1096739418,securities,VND|SSI
locked_final_test,2025-08-01,999993607,983415157,0,16578450,0,-6393,1085908388,securities,SSI|VND
locked_final_test,2025-08-04,1001409910,967145788,0,34264122,0,1409910,1116711559,securities,SSI|VND
locked_final_test,2025-08-05,1002143071,967145788,17536047,17461236,951204,1191867,1147203076,securities,SSI|VND
locked_final_test,2025-08-06,1002083221,967145788,34937433,0,2083221,0,1171214598,securities,SSI|VND
locked_final_test,2025-08-07,1002083221,984681835,17401386,0,2083221,0,1180951058,securities,SSI|VND
locked_final_test,2025-08-08,1002083221,1002083221,0,0,2083221,0,1186036249,securities,SSI|VND
locked_final_test,2025-08-11,1002083221,1002083221,0,0,2083221,0,1213619623,securities,SSI|VND
locked_final_test,2025-08-12,1002083221,1002083221,0,0,2083221,0,1210227768,securities,SSI|VND
locked_final_test,2025-08-13,1002083221,1002083221,0,0,2083221,0,1212463941,securities,SSI|VND
locked_final_test,2025-08-14,1002083221,1002083221,0,0,2083221,0,1257415533,securities,SSI|VND
locked_final_test,2025-08-15,1002083221,1002083221,0,0,2083221,0,1260039686,securities,SSI|VND
locked_final_test,2025-08-18,1002083221,1002083221,0,0,2083221,0,1257669649,securities,SSI|VND
locked_final_test,2025-08-19,1002083221,1002083221,0,0,2083221,0,1290469723,securities,SSI|VND
