role,rotation,ticker,sector,campaign_id,level,event_time,side,purpose,quantity,reference_book_price_vnd,execution_price_vnd,gross_notional_vnd,commission_vnd,sell_tax_vnd,execution_friction_vnd,realized_pnl_vnd
locked_final_test,2025-08,SSI,securities,2025-08:SSI:L1:C1,1,2025-08-01T09:17:00,BUY,buy,100,33300,33350,3335000,5003,0,5000,0
locked_final_test,2025-08,SSI,securities,2025-08:SSI:L1:C2,1,2025-08-01T09:17:00,BUY,buy,100,33300,33350,3335000,5003,0,5000,0
locked_final_test,2025-08,SSI,securities,2025-08:SSI:L1:C3,1,2025-08-01T09:17:00,BUY,buy,100,33300,33350,3335000,5003,0,5000,0
locked_final_test,2025-08,VND,securities,2025-08:VND:L1:C1,1,2025-08-01T09:17:00,BUY,buy,100,21800,21850,2185000,3278,0,5000,0
locked_final_test,2025-08,VND,securities,2025-08:VND:L1:C2,1,2025-08-01T09:17:00,BUY,buy,100,21800,21850,2185000,3278,0,5000,0
locked_final_test,2025-08,VND,securities,2025-08:VND:L1:C3,1,2025-08-01T09:17:00,BUY,buy,100,21800,21850,2185000,3278,0,5000,0
locked_final_test,2025-08,SSI,securities,2025-08:SSI:L2:C1,2,2025-08-04T09:15:00,BUY,buy,100,32500,32550,3255000,4883,0,5000,0
locked_final_test,2025-08,SSI,securities,2025-08:SSI:L2:C2,2,2025-08-04T09:15:00,BUY,buy,100,32500,32550,3255000,4883,0,5000,0
locked_final_test,2025-08,SSI,securities,2025-08:SSI:L2:C3,2,2025-08-04T09:15:00,BUY,buy,100,32500,32550,3255000,4883,0,5000,0
locked_final_test,2025-08,VND,securities,2025-08:VND:L2:C1,2,2025-08-04T09:16:00,BUY,buy,100,21550,21600,2160000,3240,0,5000,0
locked_final_test,2025-08,VND,securities,2025-08:VND:L2:C2,2,2025-08-04T09:16:00,BUY,buy,100,21550,21600,2160000,3240,0,5000,0
locked_final_test,2025-08,VND,securities,2025-08:VND:L2:C3,2,2025-08-04T09:16:00,BUY,buy,100,21550,21600,2160000,3240,0,5000,0
locked_final_test,2025-08,SSI,securities,2025-08:SSI:L1:C1,1,2025-08-05T13:00:00,SELL,grid_target,100,34900,34850,3485000,5228,3485,5000,136284
locked_final_test,2025-08,SSI,securities,2025-08:SSI:L1:C2,1,2025-08-05T13:00:00,SELL,grid_target,100,34900,34850,3485000,5228,3485,5000,136284
locked_final_test,2025-08,SSI,securities,2025-08:SSI:L1:C3,1,2025-08-05T13:00:00,SELL,grid_target,100,34900,34850,3485000,5228,3485,5000,136284
locked_final_test,2025-08,VND,securities,2025-08:VND:L1:C1,1,2025-08-05T13:00:00,SELL,grid_target,100,23800,23750,2375000,3563,2375,5000,180784
locked_final_test,2025-08,VND,securities,2025-08:VND:L1:C2,1,2025-08-05T13:00:00,SELL,grid_target,100,23800,23750,2375000,3563,2375,5000,180784
locked_final_test,2025-08,VND,securities,2025-08:VND:L1:C3,1,2025-08-05T13:00:00,SELL,grid_target,100,23800,23750,2375000,3563,2375,5000,180784
locked_final_test,2025-08,SSI,securities,2025-08:SSI:L2:C1,2,2025-08-06T13:00:00,SELL,grid_target,100,34850,34800,3480000,5220,3480,5000,211417
locked_final_test,2025-08,SSI,securities,2025-08:SSI:L2:C2,2,2025-08-06T13:00:00,SELL,grid_target,100,34850,34800,3480000,5220,3480,5000,211417
locked_final_test,2025-08,SSI,securities,2025-08:SSI:L2:C3,2,2025-08-06T13:00:00,SELL,grid_target,100,34850,34800,3480000,5220,3480,5000,211417
locked_final_test,2025-08,VND,securities,2025-08:VND:L2:C1,2,2025-08-06T13:00:00,SELL,grid_target,100,23400,23350,2335000,3503,2335,5000,165922
locked_final_test,2025-08,VND,securities,2025-08:VND:L2:C2,2,2025-08-06T13:00:00,SELL,grid_target,100,23400,23350,2335000,3503,2335,5000,165922
locked_final_test,2025-08,VND,securities,2025-08:VND:L2:C3,2,2025-08-06T13:00:00,SELL,grid_target,100,23400,23350,2335000,3503,2335,5000,165922
locked_final_test,2025-09,VPB,banks,2025-09:VPB:L1:C1,1,2025-09-04T10:54:00,BUY,buy,100,34100,34100,3410000,5115,0,0,0
locked_final_test,2025-09,VPB,banks,2025-09:VPB:L1:C2,1,2025-09-04T10:54:00,BUY,buy,100,34100,34100,3410000,5115,0,0,0
