role,trading_date,equity_vnd,available_cash_vnd,pending_cash_vnd,inventory_liquidation_value_vnd,realized_pnl_vnd,unrealized_pnl_vnd,benchmark_equity_vnd,selected_sector,selected_tickers
in_sample,2023-01-03,1000000000,1000000000,0,0,0,0,1000000000,,
in_sample,2023-01-04,1000000000,1000000000,0,0,0,0,1002936575,,
in_sample,2023-01-05,1000000000,1000000000,0,0,0,0,1015823879,,
in_sample,2023-01-06,1000000000,1000000000,0,0,0,0,1009607416,,
in_sample,2023-01-09,1000000000,1000000000,0,0,0,0,1016899445,,
in_sample,2023-01-10,1000000000,1000000000,0,0,0,0,1013142296,,
in_sample,2023-01-11,1000000000,1000000000,0,0,0,0,1016001614,,
in_sample,2023-01-12,1000000000,1000000000,0,0,0,0,1018349985,,
in_sample,2023-01-13,1000000000,1000000000,0,0,0,0,1027829868,,
in_sample,2023-01-16,1000000000,1000000000,0,0,0,0,1037954094,,
in_sample,2023-01-17,1000000000,1000000000,0,0,0,0,1077152044,,
in_sample,2023-01-18,1000000000,1000000000,0,0,0,0,1084964785,,
in_sample,2023-01-19,1000000000,1000000000,0,0,0,0,1102512131,,
in_sample,2023-01-27,1000000000,1000000000,0,0,0,0,1097915044,,
in_sample,2023-01-30,1000000000,1000000000,0,0,0,0,1081126522,,
in_sample,2023-01-31,1000000000,1000000000,0,0,0,0,1102684938,,
in_sample,2023-02-01,1000000000,1000000000,0,0,0,0,1047500279,,
in_sample,2023-02-02,1000000000,1000000000,0,0,0,0,1047216106,,
in_sample,2023-02-03,1000000000,1000000000,0,0,0,0,1038118287,,
in_sample,2023-02-06,1000000000,1000000000,0,0,0,0,1055189769,,
in_sample,2023-02-07,1000000000,1000000000,0,0,0,0,1018241200,,
in_sample,2023-02-08,1000000000,1000000000,0,0,0,0,1032514370,,
in_sample,2023-02-09,1000000000,1000000000,0,0,0,0,1024189630,,
in_sample,2023-02-10,1000000000,1000000000,0,0,0,0,1010795795,,
in_sample,2023-02-13,1000000000,1000000000,0,0,0,0,988198545,,
in_sample,2023-02-14,1000000000,1000000000,0,0,0,0,992777493,,
in_sample,2023-02-15,1000000000,1000000000,0,0,0,0,1006346993,,
in_sample,2023-02-16,1000000000,1000000000,0,0,0,0,1024281247,,
in_sample,2023-02-17,1000000000,1000000000,0,0,0,0,1019232130,,
in_sample,2023-02-20,1000000000,1000000000,0,0,0,0,1066018909,,
in_sample,2023-02-21,1000000000,1000000000,0,0,0,0,1051840975,,
