role,rotation,ticker,sector,campaign_id,level,event_time,side,purpose,quantity,reference_book_price_vnd,execution_price_vnd,gross_notional_vnd,commission_vnd,sell_tax_vnd,execution_friction_vnd,realized_pnl_vnd
in_sample,2023-04,VCB,banks,2023-04:VCB:L1:C1,1,2023-04-10T13:52:00,BUY,buy,100,89100,89100,8910000,13365,0,0,0
in_sample,2023-04,VCB,banks,2023-04:VCB:L1:C2,1,2023-04-10T13:52:00,BUY,buy,100,89100,89100,8910000,13365,0,0,0
in_sample,2023-04,VCB,banks,2023-04:VCB:L1:C3,1,2023-04-10T14:26:00,BUY,buy,100,89100,89100,8910000,13365,0,0,0
in_sample,2023-04,VCB,banks,2023-04:VCB:L1:C4,1,2023-04-11T09:27:00,BUY,buy,100,89100,89100,8910000,13365,0,0,0
in_sample,2023-04,VCB,banks,2023-04:VCB:L1:C5,1,2023-04-11T10:02:00,BUY,buy,100,88600,88700,8870000,13305,0,10000,0
in_sample,2023-04,VCB,banks,2023-04:VCB:L1:C1,1,2023-04-24T09:17:00,SELL,scheduled_wind_down,100,87500,87400,8740000,13110,8740,10000,-205215
in_sample,2023-04,VCB,banks,2023-04:VCB:L1:C2,1,2023-04-24T09:18:00,SELL,scheduled_wind_down,100,87500,87400,8740000,13110,8740,10000,-205215
in_sample,2023-04,VCB,banks,2023-04:VCB:L1:C3,1,2023-04-24T09:18:00,SELL,scheduled_wind_down,100,87500,87400,8740000,13110,8740,10000,-205215
in_sample,2023-04,VCB,banks,2023-04:VCB:L1:C4,1,2023-04-24T09:18:00,SELL,scheduled_wind_down,100,87500,87400,8740000,13110,8740,10000,-205215
in_sample,2023-04,VCB,banks,2023-04:VCB:L1:C5,1,2023-04-24T09:19:00,SELL,scheduled_wind_down,100,87500,87400,8740000,13110,8740,10000,-165155
in_sample,2023-05,VCB,banks,2023-05:VCB:L1:C1,1,2023-05-04T11:25:00,BUY,buy,100,89300,89300,8930000,13395,0,0,0
in_sample,2023-05,VCB,banks,2023-05:VCB:L1:C2,1,2023-05-04T11:25:00,BUY,buy,100,89300,89300,8930000,13395,0,0,0
in_sample,2023-05,VCB,banks,2023-05:VCB:L1:C3,1,2023-05-04T13:03:00,BUY,buy,100,89200,89300,8930000,13395,0,10000,0
in_sample,2023-05,VCB,banks,2023-05:VCB:L1:C4,1,2023-05-04T13:04:00,BUY,buy,100,89200,89300,8930000,13395,0,10000,0
in_sample,2023-05,VCB,banks,2023-05:VCB:L1:C5,1,2023-05-04T13:06:00,BUY,buy,100,89200,89300,8930000,13395,0,10000,0
in_sample,2023-05,TCB,banks,2023-05:TCB:L1:C1,1,2023-05-05T11:26:00,BUY,buy,100,28700,28750,2875000,4313,0,5000,0
in_sample,2023-05,TCB,banks,2023-05:TCB:L1:C2,1,2023-05-05T11:26:00,BUY,buy,100,28700,28750,2875000,4313,0,5000,0
in_sample,2023-05,TCB,banks,2023-05:TCB:L1:C3,1,2023-05-05T11:26:00,BUY,buy,100,28700,28750,2875000,4313,0,5000,0
in_sample,2023-05,TCB,banks,2023-05:TCB:L1:C4,1,2023-05-05T11:26:00,BUY,buy,100,28700,28750,2875000,4313,0,5000,0
in_sample,2023-05,TCB,banks,2023-05:TCB:L1:C5,1,2023-05-05T11:26:00,BUY,buy,100,28700,28750,2875000,4313,0,5000,0
in_sample,2023-05,VCB,banks,2023-05:VCB:L1:C1,1,2023-05-08T13:04:00,SELL,grid_target,100,91500,91400,9140000,13710,9140,10000,173755
in_sample,2023-05,VCB,banks,2023-05:VCB:L1:C2,1,2023-05-08T13:04:00,SELL,grid_target,100,91500,91400,9140000,13710,9140,10000,173755
in_sample,2023-05,VCB,banks,2023-05:VCB:L1:C3,1,2023-05-08T13:04:00,SELL,grid_target,100,91500,91400,9140000,13710,9140,10000,173755
in_sample,2023-05,VCB,banks,2023-05:VCB:L1:C4,1,2023-05-08T13:05:00,SELL,grid_target,100,91600,91500,9150000,13725,9150,10000,183730
in_sample,2023-05,VCB,banks,2023-05:VCB:L1:C5,1,2023-05-08T13:05:00,SELL,grid_target,100,91600,91500,9150000,13725,9150,10000,183730
in_sample,2023-05,TCB,banks,2023-05:TCB:L1:C1,1,2023-05-15T09:15:00,SELL,grid_target,100,29500,29500,2950000,4425,2950,0,63312
in_sample,2023-05,TCB,banks,2023-05:TCB:L1:C2,1,2023-05-15T09:15:00,SELL,grid_target,100,29500,29500,2950000,4425,2950,0,63312
in_sample,2023-05,TCB,banks,2023-05:TCB:L1:C3,1,2023-05-15T09:15:00,SELL,grid_target,100,29500,29500,2950000,4425,2950,0,63312
in_sample,2023-05,TCB,banks,2023-05:TCB:L1:C4,1,2023-05-15T09:15:00,SELL,grid_target,100,29500,29500,2950000,4425,2950,0,63312
