role,trading_date,equity_vnd,available_cash_vnd,pending_cash_vnd,inventory_liquidation_value_vnd,realized_pnl_vnd,unrealized_pnl_vnd,benchmark_equity_vnd,selected_sector,selected_tickers
optimization,2024-01-02,1000000000,1000000000,0,0,0,0,1000000000,,
optimization,2024-01-03,1000000000,1000000000,0,0,0,0,1013267598,,
optimization,2024-01-04,1000000000,1000000000,0,0,0,0,1032197557,,
optimization,2024-01-05,1000000000,1000000000,0,0,0,0,1038224074,,
optimization,2024-01-08,1000000000,1000000000,0,0,0,0,1045616744,,
optimization,2024-01-09,1000000000,1000000000,0,0,0,0,1048731912,,
optimization,2024-01-10,1000000000,1000000000,0,0,0,0,1051437324,,
optimization,2024-01-11,1000000000,1000000000,0,0,0,0,1050774453,,
optimization,2024-01-12,1000000000,1000000000,0,0,0,0,1056643383,,
optimization,2024-01-15,1000000000,1000000000,0,0,0,0,1048736089,,
optimization,2024-01-16,1000000000,1000000000,0,0,0,0,1054369687,,
optimization,2024-01-17,1000000000,1000000000,0,0,0,0,1056253144,,
optimization,2024-01-18,1000000000,1000000000,0,0,0,0,1062295614,,
optimization,2024-01-19,1000000000,1000000000,0,0,0,0,1070572356,,
optimization,2024-01-22,1000000000,1000000000,0,0,0,0,1074105846,,
optimization,2024-01-23,1000000000,1000000000,0,0,0,0,1072376064,,
optimization,2024-01-24,1000000000,1000000000,0,0,0,0,1072007375,,
optimization,2024-01-25,1000000000,1000000000,0,0,0,0,1069065929,,
optimization,2024-01-26,1000000000,1000000000,0,0,0,0,1075974628,,
optimization,2024-01-29,1000000000,1000000000,0,0,0,0,1072863753,,
optimization,2024-01-30,1000000000,1000000000,0,0,0,0,1072825164,,
optimization,2024-01-31,1000000000,1000000000,0,0,0,0,1059956330,,
optimization,2024-02-01,1000000000,1000000000,0,0,0,0,1060326548,banks,VCB|TCB
optimization,2024-02-02,1000000000,1000000000,0,0,0,0,1058041493,banks,VCB|TCB
optimization,2024-02-05,1000000000,1000000000,0,0,0,0,1081903361,banks,VCB|TCB
optimization,2024-02-06,1000000000,1000000000,0,0,0,0,1082834075,banks,VCB|TCB
optimization,2024-02-07,1000000000,1000000000,0,0,0,0,1106388937,banks,VCB|TCB
optimization,2024-02-15,1000000000,1000000000,0,0,0,0,1118604054,banks,VCB|TCB
optimization,2024-02-16,1000000000,1000000000,0,0,0,0,1118870253,banks,VCB|TCB
optimization,2024-02-19,1000000000,1000000000,0,0,0,0,1120254340,banks,VCB|TCB
optimization,2024-02-20,1000000000,1000000000,0,0,0,0,1120802948,banks,VCB|TCB
optimization,2024-02-21,1000000000,1000000000,0,0,0,0,1118582162,banks,VCB|TCB
optimization,2024-02-22,1000000000,1000000000,0,0,0,0,1118035834,banks,VCB|TCB
optimization,2024-02-23,1000000000,1000000000,0,0,0,0,1107165419,banks,VCB|TCB
optimization,2024-02-26,1000000000,1000000000,0,0,0,0,1122033451,banks,VCB|TCB
optimization,2024-02-27,1000000000,1000000000,0,0,0,0,1137200910,banks,VCB|TCB
optimization,2024-02-28,1000000000,1000000000,0,0,0,0,1157390527,banks,VCB|TCB
optimization,2024-02-29,1000000000,1000000000,0,0,0,0,1160451930,banks,VCB|TCB
optimization,2024-03-01,1000333915,971216890,0,29117025,0,333915,1161742775,banks,MBB|VCB
optimization,2024-03-04,999944890,971216890,0,28728000,0,-55110,1161326324,banks,MBB|VCB
optimization,2024-03-05,999795265,971216890,0,28578375,0,-204735,1168332708,banks,MBB|VCB
optimization,2024-03-06,999825190,971216890,0,28608300,0,-174810,1161918715,banks,MBB|VCB
