role,rotation,ticker,sector,campaign_id,level,event_time,side,purpose,quantity,reference_book_price_vnd,execution_price_vnd,gross_notional_vnd,commission_vnd,sell_tax_vnd,execution_friction_vnd,realized_pnl_vnd
optimization,2024-03,VCB,banks,2024-03:VCB:L1:C1,1,2024-03-01T13:57:00,BUY,buy,100,95700,95800,9580000,14370,0,10000,0
optimization,2024-03,VCB,banks,2024-03:VCB:L1:C2,1,2024-03-01T13:58:00,BUY,buy,100,95700,95800,9580000,14370,0,10000,0
optimization,2024-03,VCB,banks,2024-03:VCB:L1:C3,1,2024-03-01T13:58:00,BUY,buy,100,95700,95800,9580000,14370,0,10000,0
optimization,2024-03,VCB,banks,2024-03:VCB:L1:C1,1,2024-03-07T09:46:00,SELL,grid_target,100,97300,97300,9730000,14595,9730,0,111305
optimization,2024-03,VCB,banks,2024-03:VCB:L1:C2,1,2024-03-07T09:46:00,SELL,grid_target,100,97300,97300,9730000,14595,9730,0,111305
optimization,2024-03,VCB,banks,2024-03:VCB:L1:C3,1,2024-03-07T09:46:00,SELL,grid_target,100,97300,97300,9730000,14595,9730,0,111305
optimization,2024-03,MBB,banks,2024-03:MBB:L1:C1,1,2024-03-08T14:27:00,BUY,buy,100,23700,23750,2375000,3563,0,5000,0
optimization,2024-03,MBB,banks,2024-03:MBB:L1:C2,1,2024-03-08T14:27:00,BUY,buy,100,23700,23750,2375000,3563,0,5000,0
optimization,2024-03,MBB,banks,2024-03:MBB:L1:C3,1,2024-03-08T14:28:00,BUY,buy,100,23650,23700,2370000,3555,0,5000,0
optimization,2024-03,MBB,banks,2024-03:MBB:L2:C1,2,2024-03-11T10:46:00,BUY,buy,100,23350,23350,2335000,3503,0,0,0
optimization,2024-03,MBB,banks,2024-03:MBB:L2:C2,2,2024-03-11T10:46:00,BUY,buy,100,23350,23350,2335000,3503,0,0,0
optimization,2024-03,MBB,banks,2024-03:MBB:L2:C3,2,2024-03-11T10:46:00,BUY,buy,100,23350,23350,2335000,3503,0,0,0
optimization,2024-03,VCB,banks,2024-03:VCB:L1:C1,1,2024-03-11T13:02:00,BUY,buy,100,95100,95200,9520000,14280,0,10000,0
optimization,2024-03,VCB,banks,2024-03:VCB:L1:C2,1,2024-03-11T13:04:00,BUY,buy,100,95000,95100,9510000,14265,0,10000,0
optimization,2024-03,VCB,banks,2024-03:VCB:L1:C3,1,2024-03-11T13:04:00,BUY,buy,100,95000,95100,9510000,14265,0,10000,0
optimization,2024-03,MBB,banks,2024-03:MBB:L3:C1,3,2024-03-11T14:22:00,BUY,buy,100,22950,22950,2295000,3443,0,0,0
optimization,2024-03,MBB,banks,2024-03:MBB:L3:C2,3,2024-03-11T14:22:00,BUY,buy,100,22950,22950,2295000,3443,0,0,0
optimization,2024-03,MBB,banks,2024-03:MBB:L3:C3,3,2024-03-11T14:22:00,BUY,buy,100,22950,22950,2295000,3443,0,0,0
optimization,2024-03,VCB,banks,2024-03:VCB:L2:C1,2,2024-03-11T14:26:00,BUY,buy,100,94300,94300,9430000,14145,0,0,0
optimization,2024-03,VCB,banks,2024-03:VCB:L2:C2,2,2024-03-11T14:26:00,BUY,buy,100,94300,94300,9430000,14145,0,0,0
optimization,2024-03,VCB,banks,2024-03:VCB:L2:C3,2,2024-03-12T09:15:00,BUY,buy,100,94200,94300,9430000,14145,0,10000,0
optimization,2024-03,VCB,banks,2024-03:VCB:L2:C1,2,2024-03-13T13:00:00,SELL,grid_target,100,96000,95900,9590000,14385,9590,10000,121880
optimization,2024-03,VCB,banks,2024-03:VCB:L2:C2,2,2024-03-13T13:00:00,SELL,grid_target,100,96000,95900,9590000,14385,9590,10000,121880
optimization,2024-03,MBB,banks,2024-03:MBB:L3:C1,3,2024-03-13T13:42:00,SELL,grid_target,100,23400,23400,2340000,3510,2340,0,35707
optimization,2024-03,MBB,banks,2024-03:MBB:L3:C2,3,2024-03-13T13:42:00,SELL,grid_target,100,23400,23400,2340000,3510,2340,0,35707
optimization,2024-03,MBB,banks,2024-03:MBB:L3:C3,3,2024-03-13T13:42:00,SELL,grid_target,100,23400,23400,2340000,3510,2340,0,35707
optimization,2024-03,MBB,banks,2024-03:MBB:L2:C1,2,2024-03-14T09:15:00,SELL,grid_target,100,23850,23800,2380000,3570,2380,5000,35547
optimization,2024-03,MBB,banks,2024-03:MBB:L2:C2,2,2024-03-14T09:15:00,SELL,grid_target,100,23850,23800,2380000,3570,2380,5000,35547
optimization,2024-03,MBB,banks,2024-03:MBB:L2:C3,2,2024-03-14T09:15:00,SELL,grid_target,100,23850,23800,2380000,3570,2380,5000,35547
optimization,2024-03,VCB,banks,2024-03:VCB:L2:C1,2,2024-03-15T13:02:00,BUY,buy,100,94300,94300,9430000,14145,0,0,0
optimization,2024-03,VCB,banks,2024-03:VCB:L2:C2,2,2024-03-15T13:02:00,BUY,buy,100,94300,94300,9430000,14145,0,0,0
optimization,2024-03,MBB,banks,2024-03:MBB:L3:C1,3,2024-03-18T11:07:00,BUY,buy,100,22950,22950,2295000,3443,0,0,0
optimization,2024-03,MBB,banks,2024-03:MBB:L3:C2,3,2024-03-18T11:07:00,BUY,buy,100,22950,22950,2295000,3443,0,0,0
optimization,2024-03,MBB,banks,2024-03:MBB:L3:C3,3,2024-03-18T11:07:00,BUY,buy,100,22950,22950,2295000,3443,0,0,0
optimization,2024-03,VCB,banks,2024-03:VCB:L3:C1,3,2024-03-18T11:18:00,BUY,buy,100,92700,92800,9280000,13920,0,10000,0
optimization,2024-03,VCB,banks,2024-03:VCB:L3:C2,3,2024-03-18T11:18:00,BUY,buy,100,92700,92800,9280000,13920,0,10000,0
optimization,2024-03,VCB,banks,2024-03:VCB:L3:C3,3,2024-03-18T11:19:00,BUY,buy,100,92700,92800,9280000,13920,0,10000,0
optimization,2024-03,MBB,banks,2024-03:MBB:L2:C1,2,2024-03-18T13:02:00,BUY,buy,100,22950,23000,2300000,3450,0,5000,0
optimization,2024-03,MBB,banks,2024-03:MBB:L2:C2,2,2024-03-18T13:02:00,BUY,buy,100,22950,23000,2300000,3450,0,5000,0
