chart_label,levels,spacing_atr_multiplier,maximum_cells_per_level,net_pnl_vnd,profit_factor,completed_sales
C1,3,0.75,3,-3916544,0.4630002189656622,128
C2,3,0.75,5,-7184350,0.41953136551340775,209
C3,3,1.0,3,-921664,0.8004413542716788,93
C4,3,1.0,5,-1724180,0.7765358639343987,154
C5,3,1.25,3,-1627734,0.6428090853672185,81
C6,3,1.25,5,-2712930,0.6428038187929802,135
C7,4,0.75,3,-677936,0.881349183638573,137
C8,4,0.75,5,-1575532,0.8356441439909569,224
C9,4,1.0,3,-1934890,0.6564311052822415,99
C10,4,1.0,5,-3412890,0.6370964654842414,164
C11,4,1.25,3,-2012097,0.5928087254535906,84
C12,4,1.25,5,-3353535,0.5928038685353659,140
