levels,spacing_atr_multiplier,minimum_spacing,maximum_spacing,allocation_per_ticker,maximum_cells_per_level,maximum_selected_tickers,stop_buy_sessions_before_end,wind_down_sessions_before_end,net_return,benchmark_return,active_return,maximum_drawdown,benchmark_maximum_drawdown,annualized_sharpe,starting_capital_vnd,ending_equity_vnd,rotations,active_rotations,fills,completed_sales,profit_factor,positive_realized_pnl_vnd,negative_realized_pnl_vnd,gross_trading_pnl_vnd,net_realized_pnl_vnd,commission_vnd,sell_tax_vnd,execution_friction_vnd,account_reconciliation_difference_vnd,benchmark_name,all_rotations_flat_and_settled,selection_deployment_overlap_count,optimization_score
3,0.75,0.008,0.025,0.45,3,2,9,5,-0.003916543999999966,0.11191155899999994,-0.1158281029999999,-0.005097937895132465,-0.135043791758926,-1.011602311282676,1000000000,996083456,12,10,256,128,0.4630002189656622,3376837,-7293381,-1890000,-3916544,1520629,505915,1015000,0,equal_weight_bank_securities_proxy_gross,True,0,-0.035422538697566175
3,0.75,0.008,0.025,0.45,5,2,9,5,-0.0071843499999999505,0.11191155899999994,-0.11909590899999989,-0.008950686294658117,-0.135043791758926,-1.1226551694458895,1000000000,992815650,12,10,418,209,0.41953136551340775,5192460,-12376810,-3940000,-7184350,2434760,809590,1690000,0,equal_weight_bank_securities_proxy_gross,True,0,-0.04143367039732898
3,1.0,0.008,0.025,0.45,3,2,9,5,-0.0009216640000000442,0.11191155899999994,-0.11283322299999998,-0.0034735496465393423,-0.135043791758926,-0.23565599934109674,1000000000,999078336,12,10,186,93,0.8004413542716788,3696848,-4618512,490000,-921664,1058574,353090,615000,0,equal_weight_bank_securities_proxy_gross,True,0,-0.03086674457326971
3,1.0,0.008,0.025,0.45,5,2,9,5,-0.001724179999999964,0.11191155899999994,-0.1136357389999999,-0.0057934377517675495,-0.135043791758926,-0.2642962084768887,1000000000,998275820,12,10,308,154,0.7765358639343987,5991510,-7715690,590000,-1724180,1735430,578750,1025000,0,equal_weight_bank_securities_proxy_gross,True,0,-0.033029833625883714
3,1.25,0.008,0.025,0.45,3,2,9,5,-0.0016277340000000473,0.11191155899999994,-0.11353929299999999,-0.003245079482502966,-0.135043791758926,-0.4686945809953308,1000000000,998372266,12,10,162,81,0.6428090853672185,2929308,-4557042,-570000,-1627734,793524,264210,505000,0,equal_weight_bank_securities_proxy_gross,True,0,-0.03163509699125153
3,1.25,0.008,0.025,0.45,5,2,9,5,-0.0027129299999999468,0.11191155899999994,-0.11462448899999989,-0.00540845552207736,-0.135043791758926,-0.46687066689964424,1000000000,997287070,12,10,270,135,0.6428038187929802,4882140,-7595070,-950000,-2712930,1322570,440360,855000,0,equal_weight_bank_securities_proxy_gross,True,0,-0.0340732800110386
4,0.75,0.008,0.025,0.45,3,2,9,5,-0.0006779359999999901,0.11191155899999994,-0.11258949499999993,-0.00397029649999181,-0.135043791758926,-0.13553496962253744,1000000000,999322064,12,10,274,137,0.881349183638573,5035771,-5713707,1430000,-677936,1580431,527505,910000,0,equal_weight_bank_securities_proxy_gross,True,0,-0.030810457999995877
4,0.75,0.008,0.025,0.45,5,2,9,5,-0.0015755320000000461,0.11191155899999994,-0.11348709099999998,-0.006732072181334425,-0.135043791758926,-0.18849326525649732,1000000000,998424468,12,10,448,224,0.8356441439909569,8010570,-9586102,1805000,-1575532,2534747,845785,1525000,0,equal_weight_bank_securities_proxy_gross,True,0,-0.033313340840667255
4,1.0,0.008,0.025,0.45,3,2,9,5,-0.0019348900000000224,0.11191155899999994,-0.11384644899999996,-0.004126501701357532,-0.135043791758926,-0.4707411395652804,1000000000,998065110,12,10,198,99,0.6564311052822415,3696848,-5631738,-470000,-1934890,1098855,366035,675000,0,equal_weight_bank_securities_proxy_gross,True,0,-0.03245975310067878
4,1.0,0.008,0.025,0.45,5,2,9,5,-0.0034128900000000018,0.11191155899999994,-0.11532444899999994,-0.006880603595337931,-0.135043791758926,-0.49844701190472435,1000000000,996587110,12,10,328,164,0.6370964654842414,5991510,-9404400,-1010000,-3412890,1802565,600325,1125000,0,equal_weight_bank_securities_proxy_gross,True,0,-0.03568430404766895
4,1.25,0.008,0.025,0.45,3,2,9,5,-0.002012097000000046,0.11191155899999994,-0.11392365599999998,-0.003629081503706888,-0.135043791758926,-0.5727635305986492,1000000000,997987903,12,10,168,84,0.5928087254535906,2929308,-4941405,-930000,-2012097,811932,270165,520000,0,equal_weight_bank_securities_proxy_gross,True,0,-0.032307551751853486
4,1.25,0.008,0.025,0.45,5,2,9,5,-0.0033535350000000186,0.11191155899999994,-0.11526509399999996,-0.006048064826283284,-0.135043791758926,-0.570790768091255,1000000000,996646465,12,10,280,140,0.5928038685353659,4882140,-8235675,-1550000,-3353535,1353250,450285,880000,0,equal_weight_bank_securities_proxy_gross,True,0,-0.03519384091314165
