role,trading_date,equity_vnd,available_cash_vnd,pending_cash_vnd,inventory_liquidation_value_vnd,realized_pnl_vnd,unrealized_pnl_vnd,benchmark_equity_vnd,selected_sector,selected_tickers
out_of_sample,2025-01-02,1000000000,1000000000,0,0,0,0,1000000000,banks,VPB|MBB
out_of_sample,2025-01-03,999842698,986840287,0,13002411,0,-157302,981099277,banks,VPB|MBB
out_of_sample,2025-01-06,999678517,979449217,0,20229300,0,-321483,972950165,banks,VPB|MBB
out_of_sample,2025-01-07,997883242,960776248,0,37106994,0,-2116758,970511113,banks,VPB|MBB
out_of_sample,2025-01-08,997823395,960776248,12837825,24209322,-2019429,-157176,975335783,banks,VPB|MBB
out_of_sample,2025-01-09,997673773,960776248,25705575,11191950,-2191209,-135018,969749774,banks,VPB|MBB
out_of_sample,2025-01-10,997516849,968040724,12867750,16608375,-2191209,-291942,951368328,banks,VPB|MBB
out_of_sample,2025-01-13,997300315,975395215,0,21905100,-2191209,-508476,960251428,banks,VPB|MBB
out_of_sample,2025-01-14,997150687,975395215,16324086,5431386,-2767440,-81873,950275330,banks,VPB|MBB
out_of_sample,2025-01-15,997210537,975395215,21815322,0,-2789463,0,957119812,banks,VPB|MBB
out_of_sample,2025-01-16,997210537,991719301,5491236,0,-2789463,0,973568744,banks,VPB|MBB
out_of_sample,2025-01-17,997210537,997210537,0,0,-2789463,0,977832629,banks,VPB|MBB
out_of_sample,2025-01-20,997210537,997210537,0,0,-2789463,0,975619928,banks,VPB|MBB
out_of_sample,2025-01-21,997210537,997210537,0,0,-2789463,0,973423308,banks,VPB|MBB
out_of_sample,2025-01-22,997210537,997210537,0,0,-2789463,0,968530331,banks,VPB|MBB
out_of_sample,2025-01-23,997210537,997210537,0,0,-2789463,0,990400298,banks,VPB|MBB
out_of_sample,2025-01-24,997210537,997210537,0,0,-2789463,0,993728669,banks,VPB|MBB
out_of_sample,2025-02-03,996958237,964010812,0,32947425,-2789463,-252300,974028778,banks,VPB|VCB
out_of_sample,2025-02-04,997152748,964010812,0,33141936,-2789463,-57789,997022768,banks,VPB|VCB
out_of_sample,2025-02-05,997377187,964010812,33366375,0,-2622813,0,1000500407,banks,VPB|VCB
out_of_sample,2025-02-06,997377187,964010812,33366375,0,-2622813,0,1011184364,banks,VPB|VCB
out_of_sample,2025-02-07,997377187,997377187,0,0,-2622813,0,1013635087,banks,VPB|VCB
out_of_sample,2025-02-10,997377187,997377187,0,0,-2622813,0,1009088801,banks,VPB|VCB
out_of_sample,2025-02-11,997323697,978989647,0,18334050,-2622813,-53490,1010018323,banks,VPB|VCB
out_of_sample,2025-02-12,997177252,969795877,0,27381375,-2622813,-199935,1006796166,banks,VPB|VCB
out_of_sample,2025-02-13,997207177,969795877,0,27411300,-2622813,-170010,1009768612,banks,VPB|VCB
out_of_sample,2025-02-14,997207177,969795877,0,27411300,-2622813,-170010,1012624874,banks,VPB|VCB
out_of_sample,2025-02-17,997207177,969795877,0,27411300,-2622813,-170010,1013178630,banks,VPB|VCB
out_of_sample,2025-02-18,997207177,969795877,0,27411300,-2622813,-170010,1017735014,banks,VPB|VCB
out_of_sample,2025-02-19,997237102,969795877,0,27441225,-2622813,-140085,1024210505,banks,VPB|VCB
out_of_sample,2025-02-20,997237102,969795877,0,27441225,-2622813,-140085,1029107839,banks,VPB|VCB
out_of_sample,2025-02-21,997506427,969795877,27710550,0,-2493573,0,1034051332,banks,VPB|VCB
out_of_sample,2025-02-24,997506427,969795877,27710550,0,-2493573,0,1042411601,banks,VPB|VCB
out_of_sample,2025-02-25,997506427,997506427,0,0,-2493573,0,1043251087,banks,VPB|VCB
out_of_sample,2025-02-26,997506427,997506427,0,0,-2493573,0,1040279047,banks,VPB|VCB
out_of_sample,2025-02-27,997506427,997506427,0,0,-2493573,0,1044008953,banks,VPB|VCB
out_of_sample,2025-02-28,997506427,997506427,0,0,-2493573,0,1040914867,banks,VPB|VCB
out_of_sample,2025-03-03,997506427,997506427,0,0,-2493573,0,1044024819,banks,MBB|VPB
out_of_sample,2025-03-04,997498528,991782853,0,5715675,-2493573,-7899,1050611866,banks,MBB|VPB
out_of_sample,2025-03-05,997468603,991782853,0,5685750,-2493573,-37824,1045944374,banks,MBB|VPB
out_of_sample,2025-03-06,997513489,991782853,0,5730636,-2493573,7062,1065430274,banks,MBB|VPB
out_of_sample,2025-03-07,997558378,991782853,5775525,0,-2441622,0,1071377225,banks,MBB|VPB
out_of_sample,2025-03-10,997558378,991782853,5775525,0,-2441622,0,1079836343,banks,MBB|VPB
out_of_sample,2025-03-11,997558378,997558378,0,0,-2441622,0,1089646607,banks,MBB|VPB
out_of_sample,2025-03-12,997558378,997558378,0,0,-2441622,0,1101392799,banks,MBB|VPB
out_of_sample,2025-03-13,997558378,997558378,0,0,-2441622,0,1088843823,banks,MBB|VPB
out_of_sample,2025-03-14,997558378,997558378,0,0,-2441622,0,1093528647,banks,MBB|VPB
out_of_sample,2025-03-17,997558378,997558378,0,0,-2441622,0,1103427729,banks,MBB|VPB
out_of_sample,2025-03-18,997558378,997558378,0,0,-2441622,0,1097398052,banks,MBB|VPB
out_of_sample,2025-03-19,997558378,997558378,0,0,-2441622,0,1089050219,banks,MBB|VPB
out_of_sample,2025-03-20,997558378,997558378,0,0,-2441622,0,1096246220,banks,MBB|VPB
out_of_sample,2025-03-21,997558378,997558378,0,0,-2441622,0,1095593102,banks,MBB|VPB
out_of_sample,2025-03-24,997558378,997558378,0,0,-2441622,0,1109753373,banks,MBB|VPB
out_of_sample,2025-03-25,997558378,997558378,0,0,-2441622,0,1101131474,banks,MBB|VPB
out_of_sample,2025-03-26,997558378,997558378,0,0,-2441622,0,1093827415,banks,MBB|VPB
out_of_sample,2025-03-27,997558378,997558378,0,0,-2441622,0,1091877211,banks,MBB|VPB
out_of_sample,2025-03-28,997558378,997558378,0,0,-2441622,0,1090722226,banks,MBB|VPB
out_of_sample,2025-03-31,997558378,997558378,0,0,-2441622,0,1080262234,banks,MBB|VPB
out_of_sample,2025-04-01,997558378,997558378,0,0,-2441622,0,1091294733,banks,VCB|TCB
out_of_sample,2025-04-02,997558378,997558378,0,0,-2441622,0,1098665023,banks,VCB|TCB
out_of_sample,2025-04-03,995696701,928545007,0,67151694,-2441622,-1861677,1022461085,banks,VCB|TCB
out_of_sample,2025-04-04,996636247,894053347,0,102582900,-2441622,-922131,1006457118,banks,VCB|TCB
out_of_sample,2025-04-08,989454247,894053347,28608300,66792600,-5741118,-4804635,937033309,banks,VCB|TCB
out_of_sample,2025-04-09,987329572,894053347,93276225,0,-12670428,0,899254770,banks,VCB|TCB
out_of_sample,2025-04-10,987329572,922661647,64667925,0,-12670428,0,960840643,banks,VCB|TCB
