"datetime","tickersymbol","open","high","low","close","ceiling","floor","matched_quantity","exchangeid","instrumenttype"
2022-01-04,FPT,93.40,94.20,93.30,93.50,99.50,86.50,1036600,HSX,stock
2022-01-05,FPT,93.70,94.20,93.50,93.60,100.00,87.00,741000,HSX,stock
2022-01-06,FPT,93.60,94.00,93.50,93.50,100.10,87.10,685000,HSX,stock
2022-01-07,FPT,93.10,93.70,93.10,93.40,100.00,87.00,476800,HSX,stock
2022-01-10,FPT,93.20,93.50,91.90,92.00,99.90,86.90,640700,HSX,stock
2022-01-11,FPT,92.00,92.20,89.10,89.50,98.40,85.60,1118500,HSX,stock
2022-01-12,FPT,89.10,90.60,88.50,89.60,95.70,83.30,845400,HSX,stock
2022-01-13,FPT,90.90,92.70,89.80,92.10,95.80,83.40,930800,HSX,stock
2022-01-14,FPT,91.70,92.10,90.90,91.30,98.50,85.70,421200,HSX,stock
2022-01-17,FPT,90.50,91.30,89.00,89.00,97.60,85.00,805000,HSX,stock
2022-01-18,FPT,88.30,89.60,88.00,88.10,95.20,82.80,569300,HSX,stock
2022-01-19,FPT,88.10,89.20,88.00,88.30,94.20,82.00,401600,HSX,stock
2022-01-20,FPT,88.40,91.00,88.30,88.80,94.40,82.20,787800,HSX,stock
2022-01-21,FPT,89.00,89.80,88.20,88.20,95.00,82.60,437900,HSX,stock
2022-01-24,FPT,88.20,88.50,85.00,85.30,94.30,82.10,977300,HSX,stock
2022-01-25,FPT,85.20,87.50,84.00,86.50,91.20,79.40,591600,HSX,stock
2022-01-26,FPT,87.00,87.00,85.50,86.00,92.50,80.50,536900,HSX,stock
2022-01-27,FPT,86.00,86.70,85.40,85.90,92.00,80.00,367500,HSX,stock
2022-01-28,FPT,86.00,89.50,85.90,89.50,91.90,79.90,1098600,HSX,stock
2022-02-07,FPT,90.00,90.10,89.00,89.50,95.70,83.30,232900,HSX,stock
2022-02-08,FPT,89.50,91.80,89.50,90.60,95.70,83.30,459900,HSX,stock
2022-02-09,FPT,91.70,91.70,90.60,90.70,96.90,84.30,645100,HSX,stock
2022-02-10,FPT,91.40,92.00,90.20,92.00,97.00,84.40,487600,HSX,stock
2022-02-11,FPT,91.80,92.40,91.40,91.60,98.40,85.60,332800,HSX,stock
2022-02-14,FPT,91.00,91.60,90.40,91.00,98.00,85.20,431900,HSX,stock
2022-02-15,FPT,91.00,91.70,90.50,91.10,97.30,84.70,343500,HSX,stock
2022-02-16,FPT,91.70,92.50,91.30,91.30,97.40,84.80,311800,HSX,stock
2022-02-17,FPT,91.90,92.80,91.00,92.80,97.60,85.00,541800,HSX,stock
2022-02-18,FPT,92.30,92.50,91.70,92.20,99.20,86.40,363200,HSX,stock
2022-02-21,FPT,92.20,94.00,92.00,93.50,98.60,85.80,755000,HSX,stock
2022-02-22,FPT,93.00,93.30,92.00,92.90,100.00,87.00,617900,HSX,stock
2022-02-23,FPT,92.60,93.90,92.60,93.00,99.40,86.40,523700,HSX,stock
2022-02-24,FPT,93.00,93.50,90.00,92.00,99.50,86.50,706600,HSX,stock
2022-02-25,FPT,92.40,93.40,92.10,92.30,98.40,85.60,691800,HSX,stock
2022-02-28,FPT,92.30,93.50,92.30,93.30,98.70,85.90,816100,HSX,stock
2022-03-01,FPT,94.00,94.00,92.50,93.40,99.80,86.80,722600,HSX,stock
2022-03-02,FPT,93.00,93.40,92.70,93.10,99.90,86.90,663100,HSX,stock
2022-03-03,FPT,93.20,94.00,93.20,93.40,99.60,86.60,526300,HSX,stock
2022-03-04,FPT,93.30,93.80,93.00,93.50,99.90,86.90,881300,HSX,stock
2022-03-07,FPT,93.10,93.90,92.20,93.80,100.00,87.00,805200,HSX,stock
2022-03-08,FPT,93.80,95.40,92.60,94.80,100.30,87.30,1109000,HSX,stock
2022-03-09,FPT,94.60,96.50,94.60,95.50,101.40,88.20,1151900,HSX,stock
2022-03-10,FPT,96.30,96.30,94.60,94.60,102.10,88.90,440800,HSX,stock
2022-03-11,FPT,94.50,94.60,92.70,93.20,101.20,88.00,598300,HSX,stock
2022-03-14,FPT,93.00,93.00,90.50,91.80,99.70,86.70,1037700,HSX,stock
2022-03-15,FPT,91.80,91.80,89.80,91.00,98.20,85.40,834500,HSX,stock
2022-03-16,FPT,91.10,92.30,90.50,91.60,97.30,84.70,603100,HSX,stock
2022-03-17,FPT,91.80,92.70,91.50,92.00,98.00,85.20,724200,HSX,stock
2022-03-18,FPT,93.00,96.60,93.00,95.10,98.40,85.60,1280600,HSX,stock
2022-03-21,FPT,95.20,96.00,95.00,95.30,101.70,88.50,723900,HSX,stock
2022-03-22,FPT,96.00,97.00,95.40,96.40,101.90,88.70,845300,HSX,stock
2022-03-23,FPT,96.50,97.50,96.00,96.50,103.10,89.70,853900,HSX,stock
2022-03-24,FPT,96.00,97.20,95.30,96.00,103.20,89.80,828000,HSX,stock
2022-03-25,FPT,96.10,96.50,95.60,95.70,102.70,89.30,601600,HSX,stock
2022-03-28,FPT,95.50,98.70,95.20,98.10,102.30,89.10,1647600,HSX,stock
2022-03-29,FPT,98.60,104.90,98.60,104.90,104.90,91.30,3141600,HSX,stock
2022-03-30,FPT,105.80,107.30,104.50,106.00,112.20,97.60,1486500,HSX,stock
2022-03-31,FPT,105.50,110.60,104.60,107.00,113.40,98.60,1506000,HSX,stock
2022-04-01,FPT,106.90,111.00,106.10,111.00,114.40,99.60,1904900,HSX,stock
2022-04-04,FPT,113.50,113.50,109.30,109.30,,,1364000,HSX,stock
2022-04-05,FPT,109.10,111.60,109.00,109.00,116.90,101.70,1028900,HSX,stock
2022-04-06,FPT,108.40,114.00,108.40,113.00,116.60,101.40,1902200,HSX,stock
2022-04-07,FPT,113.70,116.90,112.10,113.30,120.90,105.10,1993300,HSX,stock
2022-04-08,FPT,113.30,113.90,108.50,108.50,121.20,105.40,1962200,HSX,stock
2022-04-12,FPT,109.00,111.50,106.60,109.80,116.00,101.00,1619000,HSX,stock
2022-04-13,FPT,110.00,115.10,109.80,115.10,117.40,102.20,1739200,HSX,stock
2022-04-14,FPT,115.20,118.90,115.20,116.60,123.10,107.10,1552400,HSX,stock
2022-04-15,FPT,115.10,117.90,114.00,115.00,124.70,108.50,1508800,HSX,stock
2022-04-18,FPT,115.00,118.60,114.00,115.50,123.00,107.00,1912700,HSX,stock
2022-04-19,FPT,116.50,117.00,112.00,112.00,123.50,107.50,2174100,HSX,stock
2022-04-20,FPT,112.00,113.00,109.60,112.00,119.80,104.20,1719700,HSX,stock
2022-04-21,FPT,111.20,115.90,111.20,112.00,119.80,104.20,2315600,HSX,stock
2022-04-22,FPT,112.50,113.90,106.00,111.10,119.80,104.20,2721300,HSX,stock
2022-04-25,FPT,110.10,110.90,103.40,103.40,118.80,103.40,2075900,HSX,stock
2022-04-26,FPT,100.20,105.00,97.00,104.30,110.60,96.20,3025200,HSX,stock
2022-04-27,FPT,102.50,104.00,100.50,103.00,111.60,97.00,1344700,HSX,stock
2022-04-28,FPT,102.90,106.80,102.50,105.50,110.20,95.80,1179300,HSX,stock
